회사명,거래소코드,회계년도,[제조]1주당매출액
(주)BNK금융지주,138930,2020/12,
(주)CMG제약,058820,2020/12,464.1
(주)DB하이텍,000990,2020/12,21026.63
(주)ES큐브,050120,2020/12,363.68
(주)HJ중공업,097230,2020/12,20350.03
(주)JB금융지주,175330,2020/12,
(주)KB금융지주,105560,2020/12,
(주)MH에탄올,023150,2020/12,6949.54
(주)SH에너지화학,002360,2020/12,821.98
(주)SIMPAC,009160,2020/12,4158.48
(주)SNT에너지,100840,2020/12,30638.08
(주)SNT홀딩스,036530,2020/12,1552.37
(주)STX,011810,2020/12,39968.87
(주)TCC스틸,002710,2020/12,14062.4
(주)가비아,079940,2020/12,4735.41
(주)가온칩스,399720,2020/12,427457.65
(주)강스템바이오텍,217730,2020/12,12.2
(주)강원랜드,035250,2020/12,2231.81
(주)강원에너지,114190,2020/12,2112.11
(주)갤럭시아에스엠,011420,2020/12,709.25
(주)경농,002100,2020/12,7636.79
(주)경동나비엔,009450,2020/12,58583.49
(주)경동도시가스,267290,2020/12,184215.2
(주)경동인베스트,012320,2020/12,3256.04
(주)경방,000050,2020/12,8245.84
(주)경보제약,214390,2020/12,9005.16
(주)경인양행,012610,2020/12,5245.59
(주)고려시멘트,198440,2020/12,2194.58
(주)고바이오랩,348150,2020/12,646.82
(주)고영테크놀러지,098460,2020/12,11440.25
(주)골드앤에스,035290,2020/12,1071.8
(주)골드퍼시픽,038530,2020/12,321.14
(주)골프존,215000,2020/12,44782.93
(주)골프존뉴딘홀딩스,121440,2020/12,1341.86
(주)공구우먼,366030,2020/12,3268341.05
(주)광림,014200,2020/12,1969.93
(주)광명전기,017040,2020/12,2596.73
(주)광무,029480,2020/12,403.76
(주)광주신세계,037710,2020/12,92192.78
(주)구영테크,053270,2020/12,3214.39
(주)국동,005320,2020/12,4301.05
(주)국보,001140,2020/12,1296.07
(주)국보디자인,066620,2020/12,33841.43
(주)국순당,043650,2020/12,2819.17
(주)국영지앤엠,006050,2020/12,1845.12
(주)국전약품,307750,2020/12,2092.04
(주)그래디언트,035080,2020/12,2891.99
(주)그리티,204020,2020/12,5949.04
(주)그린플러스,186230,2020/12,11500.82
(주)글로벌스탠다드테크놀로지,083450,2020/12,16543.74
(주)금비,008870,2020/09,79341.22
(주)금양,001570,2020/12,2745.37
(주)금호에이치티,214330,2020/12,7032.26
(주)금화피에스시,036190,2020/12,34298.36
(주)기가레인,049080,2020/12,724.44
(주)기산텔레콤,035460,2020/12,1837.58
(주)까뮤이앤씨,013700,2020/12,3581.85
(주)까스텔바작,308100,2020/12,10176.34
(주)나노,187790,2020/12,1408.64
(주)나노브릭,286750,2020/12,1897.31
(주)나노신소재,121600,2020/12,4444.96
(주)나노엔텍,039860,2020/12,1028.13
(주)나래나노텍,137080,2020/12,9612.71
(주)나무가,190510,2020/12,56548.24
(주)나스미디어,089600,2020/12,9372.99
(주)나이벡,138610,2020/12,641.94
(주)나이스디앤비,130580,2020/12,3915.65
(주)나이스홀딩스,034310,2020/12,1028.99
(주)나인테크,267320,2020/12,1671.87
(주)남선알미늄,008350,2020/12,2429.92
(주)남성,004270,2020/12,1848.76
(주)내츄럴엔도텍,168330,2020/12,642.27
(주)네오리진,094860,2020/12,187.06
(주)네오셈,253590,2020/12,1260.31
(주)네오오토,212560,2020/12,14920.63
(주)네오위즈,095660,2020/12,10230.52
(주)네오위즈홀딩스,042420,2020/12,111.74
(주)네오이뮨텍,950220,2020/12,0
(주)네오크레마,311390,2020/12,3030.44
(주)네오티스,085910,2020/12,3462.04
(주)네오팜,092730,2020/12,9925.99
(주)네오펙트,290660,2020/12,222.2
(주)네온테크,306620,2020/12,908.83
(주)네이블커뮤니케이션즈,153460,2020/12,1812.72
(주)네이처셀,007390,2020/12,273.24
(주)네패스,033640,2020/12,11657.1
(주)네패스아크,330860,2020/12,8310.19
(주)넥센,005720,2020/12,6183.64
(주)넥스턴바이오사이언스,089140,2020/12,817.57
(주)넥스트아이,137940,2020/12,238.51
(주)넥스트엔터테인먼트월드,160550,2020/12,2302.05
(주)넥스트칩,396270,2020/12,
(주)넥스틴,348210,2020/12,18556.65
(주)넥슨게임즈,225570,2020/12,2822.73
(주)넵튠,217270,2020/12,320.62
(주)노랑풍선,104620,2020/12,4177.71
(주)노루페인트,090350,2020/12,27122.64
(주)노루홀딩스,000320,2020/12,1414.96
(주)노바렉스,194700,2020/12,24745.6
(주)노바텍,285490,2020/12,3770.99
(주)노블엠앤비,106520,2020/12,308.23
(주)노터스,278650,2020/12,5765.1
(주)녹십자,006280,2020/12,105057.68
(주)녹십자엠에스,142280,2020/12,5255.92
(주)녹십자웰빙,234690,2020/12,4258.78
(주)녹십자홀딩스,005250,2020/12,1590.22
(주)녹원씨엔아이,065560,2020/12,974.07
(주)농심,004370,2020/12,346181.83
(주)농심홀딩스,072710,2020/12,4159.55
(주)누리플랜,069140,2020/12,6606.35
(주)누리플렉스,040160,2020/12,5587.93
(주)누보,332290,2020/12,
(주)뉴로메카,348340,2020/12,28576.23
(주)뉴보텍,060260,2020/12,1269.33
(주)뉴인텍,012340,2020/12,1592.69
(주)뉴트리,270870,2020/12,18858.66
(주)뉴파워프라즈마,144960,2020/12,1991.26
(주)뉴프렉스,085670,2020/12,7441.71
(주)다나와,119860,2020/12,12318.02
(주)다날,064260,2020/12,2909.55
(주)다보링크,340360,2020/12,
(주)다산네트웍스,039560,2020/12,987.57
(주)다우기술,023590,2020/12,5486.53
(주)다우데이타,032190,2020/12,5213.89
(주)다원시스,068240,2020/12,9190.12
(주)다이나믹디자인,145210,2020/12,567.74
(주)대교,019680,2020/12,5633.8
(주)대구백화점,006370,2020/12,7865.62
(주)대덕,008060,2020/12,71.24
(주)대동,000490,2020/12,26866.11
(주)대동스틸,048470,2020/12,10635.78
(주)대륙제관,004780,2020/12,13344.59
(주)대림제지,017650,2020/12,2860.82
(주)대명소노시즌,007720,2020/12,1283.51
(주)대성미생물연구소,036480,2020/12,6526.58
(주)대성엘텍,025440,2020/12,2935.66
(주)대성파인텍,104040,2020/12,1025.12
(주)대성하이텍,129920,2020/12,643130.98
(주)대양금속,009190,2020/12,3494.2
(주)대우건설,047040,2020/12,18375.46
(주)대웅,003090,2020/12,1506.8
(주)대웅제약,069620,2020/12,81538.47
(주)대원,007680,2020/12,12205.25
(주)대유,290380,2020/12,3715.68
(주)대유에이텍,002880,2020/12,3393.69
(주)대유에이피,290120,2020/12,12528.56
(주)대유플러스,000300,2020/12,919.49
(주)대창,012800,2020/12,4622.65
(주)대창솔루션,096350,2020/12,157.2
(주)대창스틸,140520,2020/12,8464.49
(주)대한과학,131220,2020/12,5591.09
(주)대한항공,003490,2020/12,77171.31
(주)대현,016090,2020/12,5717.84
(주)대호에이엘,069460,2020/12,4474.93
(주)대호특수강,021040,2020/12,1831.36
(주)더 미동,161570,2020/12,1905.54
(주)더네이쳐홀딩스,298540,2020/12,46975.39
(주)더블유게임즈,192080,2020/12,13033.26
(주)더블유아이,073570,2020/12,1593.22
(주)더블유에스아이,299170,2020/12,892.59
(주)더존비즈온,012510,2020/12,9631.65
(주)더코디,224060,2020/12,136.7
(주)덕산테코피아,317330,2020/12,4264.97
(주)덕성,004830,2020/12,6283.09
(주)덕신하우징,090410,2020/12,2727.03
(주)데이타솔루션,263800,2020/12,5868.03
(주)덱스터스튜디오,206560,2020/12,954.11
(주)덴티스,261200,2020/12,562.13
(주)덴티움,145720,2020/12,16157.39
(주)도화엔지니어링,002150,2020/12,18072.16
(주)동구바이오제약,006620,2020/12,14495.61
(주)동국알앤에스,075970,2020/12,3471.66
(주)동국에스엔씨,100130,2020/12,2821.51
(주)동남합성,023450,2020/12,34493.55
(주)동방,004140,2020/12,14000.96
(주)동방선기,099410,2020/12,1591.83
(주)동방아그로,007590,2020/12,9469.94
(주)동서,026960,2020/12,4424.2
(주)동성케미컬,102260,2020/12,4782.86
(주)동성화인텍,033500,2020/12,14346.81
(주)동아엘텍,088130,2020/12,8361.16
(주)동아지질,028100,2020/12,27360.67
(주)동양,001520,2020/12,1853.74
(주)동양고속,084670,2020/12,28802.28
(주)동양에스텍,060380,2020/12,13664.2
(주)동우팜투테이블,088910,2020/12,10690.19
(주)동운아나텍,094170,2020/12,4487.57
(주)동원개발,013120,2020/12,6944.49
(주)동원에프앤비,049770,2020/12,461573.21
(주)동일기연,032960,2020/12,7256.73
(주)동진쎄미켐,005290,2020/12,13225.43
(주)두산,000150,2020/12,72353.79
(주)두산테스나,131970,2020/12,15454.27
(주)두올,016740,2020/12,7166.74
(주)듀오백,073190,2020/12,3610.58
(주)드래곤플라이,030350,2020/12,258.35
(주)드림시큐리티,203650,2020/12,491.54
(주)드림씨아이에스,223250,2020/12,4790.83
(주)드림어스컴퍼니,060570,2020/12,3901.09
(주)드림텍,192650,2020/12,6397.4
(주)디딤,217620,2020/12,2114.19
(주)디모아,016670,2020/12,77.54
(주)디바이스이엔지,187870,2020/12,17930.9
(주)디비아이엔씨,012030,2020/12,1117.91
(주)디스플레이테크,066670,2020/12,1938.01
(주)디아이,003160,2020/12,3234.12
(주)디아이씨,092200,2020/12,9036.17
(주)디아크,078590,2020/12,497.71
(주)디알비동일,004840,2020/12,5460.23
(주)디알젬,263690,2020/12,9353.45
(주)디알텍,214680,2020/12,920.51
(주)디앤씨미디어,263720,2020/12,4485.8
(주)디어유,376300,2020/12,
(주)디에스앤엘,141020,2020/12,0
(주)디에스케이,109740,2020/12,1576.57
(주)디에이테크놀로지,196490,2020/12,497.99
(주)디에이피,066900,2020/12,13248.9
(주)디엔에이링크,127120,2020/12,1041.04
(주)디엔에프,092070,2020/12,7726.87
(주)디엔오토모티브,007340,2020/12,16782.84
(주)디엠에스,068790,2020/12,9096.35
(주)디오,039840,2020/12,4960.55
(주)디와이디,219550,2020/12,529.69
(주)디이엔티,079810,2020/12,1638.79
(주)디지비금융지주,139130,2020/12,
(주)디지아이,043360,2020/12,1718.45
(주)디지캡,197140,2020/12,2116.18
(주)디지털대성,068930,2020/12,4446.8
(주)디지틀조선일보,033130,2020/12,764.9
(주)디케이앤디,263020,2020/12,4832.07
(주)디케이티,290550,2020/12,16339.64
(주)디티앤씨,187220,2020/12,3970.47
(주)딜리,131180,2020/12,939.49
(주)딥노이드,315640,2020/12,755.41
(주)라닉스,317120,2020/12,967.3
(주)라온테크,232680,2020/12,4249.63
(주)라이온켐텍,171120,2020/12,7016.72
(주)라이트론,069540,2020/12,952.12
(주)라이프시맨틱스,347700,2020/12,2902.15
(주)라파스,214260,2020/12,1769.36
(주)락앤락,115390,2020/12,3934.87
(주)래몽래인,200350,2020/12,7702.81
(주)랩지노믹스,084650,2020/12,10701.47
(주)러셀,217500,2020/12,915.68
(주)레고켐바이오사이언스,141080,2020/12,2049.65
(주)레드캡투어,038390,2020/12,26032.66
(주)레몬,294140,2020/12,2367.81
(주)레이,228670,2020/12,7078.98
(주)레이언스,228850,2020/12,5250.09
(주)레이크머티리얼즈,281740,2020/12,707.45
(주)레인보우로보틱스,277810,2020/12,422.17
(주)로보로보,215100,2020/12,246.44
(주)로보스타,090360,2020/12,13354.66
(주)로보티즈,108490,2020/12,1512.27
(주)로지시스,067730,2020/12,3517.14
(주)루닛,328130,2020/12,891.05
(주)루멘스,038060,2020/12,2848.46
(주)루트로닉,085370,2020/12,3488.24
(주)룽투코리아,060240,2020/12,2020.54
(주)리노스,039980,2020/12,2061.48
(주)리더스기술투자,019570,2020/03,
(주)리더스코스메틱,016100,2020/12,1783.64
(주)리드코프,012700,2020/12,12139.64
(주)리메드,302550,2020/12,2760.81
(주)리파인,377450,2020/12,208321.2
(주)링네트,042500,2020/12,9640.09
(주)링크제니시스,219420,2020/12,1146.55
(주)마니커,027740,2020/12,1359.26
(주)마니커에프앤지,195500,2020/12,8669.54
(주)마이크로디지탈,305090,2020/12,630.77
(주)마이크로컨텍솔루션,098120,2020/12,4635.05
(주)마이크로프랜드,147760,2020/12,4715.9
(주)마인즈랩,377480,2020/12,15343.77
(주)마크로밀엠브레인,169330,2020/06,4920.57
(주)마크로젠,038290,2020/12,8533.29
(주)매직마이크로,127160,2020/12,270.67
(주)매커스,093520,2020/12,4960.73
(주)맥스트,377030,2020/12,
(주)머큐리,100590,2020/12,7979.76
(주)멀티캠퍼스,067280,2020/12,42323.25
(주)메드팩토,235980,2020/12,0
(주)메디아나,041920,2020/12,7761.1
(주)메디콕스,054180,2020/12,519.76
(주)메디톡스,086900,2020/12,20632.43
(주)메디프론디비티,065650,2020/12,894.18
(주)메리츠금융지주,138040,2020/12,
(주)메지온,140410,2020/12,3289.04
(주)메카로,241770,2020/12,7072.34
(주)메타랩스,090370,2020/12,398.3
(주)메타바이오메드,059210,2020/12,1753.41
(주)멕아이씨에스,058110,2020/12,10389.94
(주)멜파스,096640,2020/12,2215.51
(주)모나리자,012690,2020/12,3202.81
(주)모나미,005360,2020/12,4926.28
(주)모다이노칩,080420,2020/12,1711.02
(주)모두투어네트워크,080160,2020/12,2258.83
(주)모베이스,101330,2020/12,658.86
(주)모베이스전자,012860,2020/12,11686.24
(주)모비데이즈,363260,2020/12,
(주)모비릭스,348030,2020/12,5889.14
(주)모비스,250060,2020/12,23.99
(주)모아데이타,288980,2020/12,48231.84
(주)모아텍,033200,2020/03,1874.72
(주)모코엠시스,333050,2020/12,
(주)모토닉,009680,2020/12,5410.84
(주)모헨즈,006920,2020/12,2905.55
(주)무학,033920,2020/12,4772.12
(주)미래생명자원,218150,2020/12,1718.94
(주)미래아이앤지,007120,2020/12,44.58
(주)미래컴퍼니,049950,2020/12,6484.52
(주)미코,059090,2020/12,1489.63
(주)미코바이오메드,214610,2020/12,3524.04
(주)미투온,201490,2020/12,546.43
(주)바른손,018700,2020/03,204.05
(주)바른손이앤에이,035620,2020/12,156.15
(주)바른전자,064520,2020/12,352.82
(주)바이넥스,053030,2020/12,4189.18
(주)바이브컴퍼니,301300,2020/12,54122.65
(주)바이오니아,064550,2020/12,6330.91
(주)바이오다인,314930,2020/12,4093.26
(주)바이오로그디바이스,208710,2020/12,2541.38
(주)바이오솔루션,086820,2020/12,958.01
(주)바이오스마트,038460,2020/12,3002.1
(주)바이오에프디엔씨,251120,2020/12,1173.88
(주)바이오톡스텍,086040,2020/12,1741.47
(주)바텍,043150,2020/12,10314.75
(주)박셀바이오,323990,2020/12,0
(주)방림,003610,2020/09,1889.4
(주)배럴,267790,2020/12,3295.69
(주)백금티앤에이,046310,2020/12,3115.64
(주)백산,035150,2020/12,8459.58
(주)밸로프,331520,2020/12,
(주)버킷스튜디오,066410,2020/12,738.15
(주)베노홀딩스,206400,2020/12,113.2
(주)베셀,177350,2020/12,6140.64
(주)베스파,299910,2020/12,8209.4
(주)벽산,007210,2020/12,3918.4
(주)보광산업,225530,2020/12,1575.65
(주)보라티알,250000,2020/12,6542.07
(주)보락,002760,2020/12,639.28
(주)보령,003850,2020/12,11692.24
(주)본느,226340,2020/12,795.95
(주)부-스타,008470,2020/12,11968.93
(주)부방,014470,2020/12,81.36
(주)뷰노,338220,2020/12,141.52
(주)뷰웍스,100120,2020/12,14750.39
(주)브랜드엑스코퍼레이션,337930,2020/12,8514.66
(주)브리지텍,064480,2020/12,3708.51
(주)브이씨,365900,2020/12,122837.13
(주)브이원텍,251630,2020/12,2022.83
(주)브이티지엠피,018290,2020/12,3086.32
(주)블루베리엔에프티,044480,2020/12,836.33
(주)블루콤,033560,2020/12,2998.93
(주)블리츠웨이,369370,2020/12,
(주)비덴트,121800,2020/12,315
(주)비보존헬스케어,082800,2020/12,214.71
(주)비비안,002070,2020/12,24122.78
(주)비상교육,100220,2020/12,10986.7
(주)비스토스,419540,2020/12,123070.74
(주)비씨월드제약,200780,2020/12,6498.85
(주)비아트론,141000,2020/12,7536.46
(주)비에이치,090460,2020/12,9658.63
(주)비엔지티,032790,2020/12,777.17
(주)비엘,142760,2020/12,809.31
(주)비엘팜텍,065170,2020/12,427.39
(주)비엠티,086670,2020/12,10821.43
(주)비올,335890,2020/12,222.04
(주)비와이씨,001460,2020/12,191561.29
(주)비즈니스온커뮤니케이션,138580,2020/12,1699.67
(주)비지에프,027410,2020/12,539.44
(주)비지에프리테일,282330,2020/12,356852.72
(주)비츠로셀,082920,2020/12,5212.93
(주)비츠로시스,054220,2020/03,142.27
(주)비츠로테크,042370,2020/12,1691.57
(주)비케이홀딩스,050090,2020/12,130.92
(주)비투엔,307870,2020/12,
(주)비트나인,357880,2020/12,2490.26
(주)비트컴퓨터,032850,2020/12,2150.64
(주)비피도,238200,2020/12,3007.39
(주)빅솔론,093190,2020/12,3430.53
(주)빅텍,065450,2020/12,2348.35
(주)빙그레,005180,2020/12,92123.36
(주)사람인에이치알,143240,2020/12,5849.11
(주)사조대림,003960,2020/12,118471.57
(주)사조오양,006090,2020/12,34769.21
(주)산돌,419120,2020/12,
(주)삼기,122350,2020/12,8827.35
(주)삼보판지,023600,2020/12,10824.69
(주)삼성출판사,068290,2020/12,5676.36
(주)삼양사,145990,2020/12,142801.39
(주)삼양옵틱스,225190,2020/12,3823.31
(주)삼양패키징,272550,2020/12,25867.3
(주)삼양홀딩스,000070,2020/12,12870.57
(주)삼에스코리아,060310,2020/03,434.58
(주)삼영에스앤씨,361670,2020/12,31310.58
(주)삼원강재,023000,2020/12,6149.73
(주)삼익악기,002450,2020/12,1191.74
(주)삼일,032280,2020/12,5146.87
(주)삼일기업공사,002290,2020/12,5217.08
(주)삼일씨엔에스,004440,2020/12,14614.49
(주)삼진,032750,2020/12,19522.18
(주)삼진엘앤디,054090,2020/12,2607.97
(주)삼천리,004690,2020/12,590623.33
(주)삼표시멘트,038500,2020/12,4991.21
(주)삼화네트웍스,046390,2020/12,646.52
(주)상보,027580,2020/12,1225.11
(주)상상인,038540,2020/12,1763.09
(주)상상인인더스트리,101000,2020/12,440.68
(주)상상인증권,001290,2020/12,
(주)상아프론테크,089980,2020/12,6978.96
(주)상지카일룸,042940,2020/12,372.71
(주)새로닉스,042600,2020/12,5049.37
(주)새빗켐,107600,2020/12,5963.36
(주)샘씨엔에스,252990,2020/12,898.55
(주)샤페론,378800,2020/12,0
(주)서남,294630,2020/12,70.68
(주)서린바이오사이언스,038070,2020/12,7609.39
(주)서부티엔디,006730,2020/12,1446.58
(주)서산,079650,2020/12,1096.56
(주)서연,007860,2020/12,554.85
(주)서연이화,200880,2020/12,37889.85
(주)서연탑메탈,019770,2020/12,11744.4
(주)서울리거,043710,2020/12,385.1
(주)서울옥션,063170,2020/12,1599.93
(주)서울제약,018680,2020/12,6155.43
(주)서원,021050,2020/12,4100.8
(주)서원인텍,093920,2020/12,6348.06
(주)서전기전,189860,2020/12,6328.35
(주)서진시스템,178320,2020/12,3237.38
(주)서진오토모티브,122690,2020/12,6491.96
(주)서플러스글로벌,140070,2020/12,3033.6
(주)서한,011370,2020/12,4809.33
(주)서흥,008490,2020/12,33383.96
(주)서희건설,035890,2020/12,5475.8
(주)석경에이티,357550,2020/12,1504.01
(주)선광,003100,2020/12,11789.81
(주)선앤엘,002820,2020/12,15306.37
(주)선익시스템,171090,2020/12,7231.57
(주)선진,136490,2020/12,39093.87
(주)성광벤드,014620,2020/12,5880.32
(주)성도이엔지,037350,2020/12,21938.58
(주)성안,011300,2020/12,520.82
(주)성우하이텍,015750,2020/12,14400.14
(주)성창오토텍,080470,2020/12,9831.03
(주)세경하이테크,148150,2020/12,8730.7
(주)세동,053060,2020/12,5130.15
(주)세림비앤지,340440,2020/12,
(주)세보엠이씨,011560,2020/12,60611.14
(주)세아메카닉스,396300,2020/12,1325236.22
(주)세아베스틸지주,001430,2020/12,38881.28
(주)세아제강,306200,2020/12,405622.17
(주)세아제강지주,003030,2020/12,3211.35
(주)세아특수강,019440,2020/12,55051.7
(주)세아홀딩스,058650,2020/12,17872.55
(주)세우글로벌,013000,2020/12,956.21
(주)세운메디칼,100700,2020/12,1401.47
(주)세원물산,024830,2020/12,18657.47
(주)세원정공,021820,2020/06,5053.4
(주)세이브존아이앤씨,067830,2020/12,3282.65
(주)세종메디칼,258830,2020/12,2064.62
(주)세중,039310,2020/12,161.49
(주)세진중공업,075580,2020/12,6965.78
(주)세진티에스,067770,2020/12,2223.63
(주)세코닉스,053450,2020/12,24109.1
(주)세토피아,222810,2020/12,163.75
(주)세화피앤씨,252500,2020/12,1764.39
(주)센코,347000,2020/12,3146.02
(주)센트랄모텍,308170,2020/12,27072.11
(주)센트럴인사이트,012600,2020/12,0
(주)셀레믹스,331920,2020/12,743.84
(주)셀루메드,049180,2020/12,607.89
(주)셀리드,299660,2020/12,0
(주)셀리버리,268600,2020/12,94.56
(주)셀바스에이아이,108860,2020/12,619.93
(주)셀바스헬스케어,208370,2020/12,899.93
(주)셀트리온,068270,2020/12,12527.32
(주)셀트리온제약,068760,2020/12,6523.58
(주)셀트리온헬스케어,091990,2020/12,13990.82
(주)셀피글로벌,068940,2020/12,887.35
(주)소룩스,290690,2020/12,929526.04
(주)소마젠,950200,2020/12,1526.42
(주)소프트센,032680,2020/12,1411.52
(주)손오공,066910,2020/12,3036.19
(주)솔고바이오메디칼,043100,2020/12,171.22
(주)솔루에타,154040,2020/12,3577.25
(주)솔루엠,248070,2020/12,18865.33
(주)솔본,035610,2020/12,129.48
(주)솔트룩스,304100,2020/12,4540.41
(주)쇼박스,086980,2020/12,745.79
(주)수산아이앤티,050960,2020/12,2675.75
(주)수산인더스트리,126720,2020/12,43540.04
(주)수산중공업,017550,2020/12,1040.18
(주)수젠텍,253840,2020/12,3086.78
(주)슈프리마,236200,2020/12,7707.19
(주)슈프리마아이디,317770,2020/12,2732.99
(주)슈프리마에이치큐,094840,2020/12,1688.43
(주)슈피겐코리아,192440,2020/12,38914.24
(주)스마트솔루션즈,136510,2020/12,2410.22
(주)스맥,099440,2020/12,3675.18
(주)스카이문스테크놀로지,033790,2020/12,1464.48
(주)스코넥엔터테인먼트,276040,2020/12,972.51
(주)스킨앤스킨,159910,2020/12,189.04
(주)스타플렉스,115570,2020/12,7439.2
(주)스튜디오산타클로스엔터테인먼트,204630,2020/12,520.14
(주)스페코,013810,2020/12,1998.42
(주)승일,049830,2020/12,21656.28
(주)시공테크,020710,2020/12,4800.86
(주)시너지이노베이션,048870,2020/12,315.78
(주)시노펙스,025320,2020/12,1159.74
(주)시디즈,134790,2020/12,113745.16
(주)시스웍,269620,2020/12,1042.91
(주)시큐브,131090,2020/12,367.85
(주)시티랩스,139050,2020/12,394.12
(주)신도기연,290520,2020/12,5577.87
(주)신도리코,029530,2020/12,31951.94
(주)신성이엔지,011930,2020/12,2007.22
(주)신세계,004170,2020/12,148275.8
(주)신세계아이앤씨,035510,2020/12,279248.75
(주)신세계인터내셔날,031430,2020/12,169664.47
(주)신세계푸드,031440,2020/12,316639.52
(주)신영와코루,005800,2020/12,197377.55
(주)신원,009270,2020/12,8107.73
(주)신진에스엠,138070,2020/12,3943.95
(주)신테카바이오,226330,2020/12,46.13
(주)신한금융지주회사,055550,2020/12,
(주)신화다이나믹스,001770,2020/12,63649.98
(주)신화콘텍,187270,2020/12,3749.35
(주)신흥,004080,2020/12,12147.29
(주)실리콘투,257720,2020/12,913004.74
(주)심텍,222800,2020/12,35875.91
(주)심텍홀딩스,036710,2020/12,106.93
(주)싸이맥스,160980,2020/12,14685.15
(주)싸이버원,356890,2020/12,5150.02
(주)싸이토젠,217330,2020/12,114.07
(주)쌍방울,102280,2020/12,642.74
(주)썸에이지,208640,2020/12,57.78
(주)쎄노텍,222420,2020/12,582.91
(주)쎄니트,037760,2020/12,1613.02
(주)쎄트렉아이,099320,2020/12,11245.29
(주)쎌마테라퓨틱스,015540,2020/12,897.18
(주)쎌바이오텍,049960,2020/12,4547.15
(주)쏘카,403550,2020/12,550551.51
(주)쏠리드,050890,2020/12,2460.81
(주)씨씨에스충북방송,066790,2020/12,290.9
(주)씨아이테크,004920,2020/12,576.13
(주)씨앤씨인터내셔널,352480,2020/12,17258.64
(주)씨앤투스성진,352700,2020/12,23361.79
(주)씨에스,065770,2020/12,2280.74
(주)씨에스에이코스믹,083660,2020/12,1422.87
(주)씨엔알리서치,359090,2020/12,
(주)씨엔플러스,115530,2020/12,300.8
(주)씨유메디칼시스템,115480,2020/12,1014.45
(주)씨이랩,189330,2020/12,4989.77
(주)씨제이이엔엠,035760,2020/12,123957.46
(주)씨젠,096530,2020/12,40732.19
(주)씨티씨바이오,060590,2020/12,4710.84
(주)씨티케이,260930,2020/12,8927.38
(주)아가방앤컴퍼니,013990,2020/12,3635.46
(주)아나패스,123860,2020/12,9968.26
(주)아난티,025980,2020/12,696.89
(주)아리온테크놀로지,058220,2020/12,14.34
(주)아모그린텍,125210,2020/12,6775.49
(주)아모레퍼시픽,090430,2020/12,43713.59
(주)아모레퍼시픽그룹,002790,2020/12,545.84
(주)아모센스,357580,2020/12,49867.48
(주)아모텍,052710,2020/12,21214.45
(주)아미노로직스,074430,2020/12,200.97
(주)아바코,083930,2020/12,12489.11
(주)아바텍,149950,2020/12,4851.94
(주)아세아텍,050860,2020/06,6454.31
(주)아센디오,012170,2020/12,201.31
(주)아셈스,136410,2020/12,2888.51
(주)아스타,246720,2020/12,76.04
(주)아스트,067390,2020/12,2056.39
(주)아스플로,159010,2020/12,11972.96
(주)아시아경제,127710,2020/12,1532.75
(주)아우딘퓨쳐스,227610,2020/12,3871.49
(주)아이디스,143160,2020/12,13829.66
(주)아이디스홀딩스,054800,2020/12,690.94
(주)아이마켓코리아,122900,2020/12,57864.91
(주)아이비김영,339950,2020/12,1065.21
(주)아이센스,099190,2020/12,12470.14
(주)아이스크림에듀,289010,2020/12,8980.11
(주)아이씨디,040910,2020/12,16542.92
(주)아이씨에이치,368600,2020/12,35669.4
(주)아이앤씨테크놀로지,052860,2020/12,1223.23
(주)아이에스시,095340,2020/12,8239.29
(주)아이에스이커머스,069920,2020/12,804.09
(주)아이에이,038880,2020/12,180.36
