,거래소코드,회사명_y,매출액(요약)(백만원),상장주식수(주),1주당_매출액(백만원)
0,058820,CMG제약,64460.0,138892244,0.00046410078881006485
1,000990,DB하이텍보통주,935920.0,44398588,0.021079949659660348
2,050120,ES큐브,30293.0,13564086,0.0022333240883314954
3,097230,HJ중공업보통주,1694634.0,83274281,0.020350028600066808
4,023150,MH에탄올보통주,51277.0,7378526,0.006949490995898097
5,002360,SH에너지화학보통주,91354.0,111133730,0.0008220186616610457
6,009160,SIMPAC보통주,272087.0,65429516,0.004158474899921314
7,100840,SNT에너지보통주,229991.0,7506711,0.03063805173797153
8,036530,SNT홀딩스보통주,25310.0,16303886,0.00155239063864897
9,011810,STX보통주,788462.0,19726902,0.03996887093574044
10,002710,TCC스틸보통주,323435.0,23000000,0.014062391304347827
11,079940,가비아,64097.0,13535684,0.0047354090122080274
12,217730,강스템바이오텍,295.0,25531688,1.1554269345606917e-05
13,035250,강원랜드보통주,477475.0,213940500,0.0022318121159855195
14,114190,강원에너지,38345.0,18154911,0.0021121006872465526
15,011420,갤럭시아에스엠보통주,19540.0,27549644,0.0007092650634614371
16,002100,경농보통주,165655.0,21691750,0.007636774349695161
17,009450,경동나비엔보통주,746325.0,13604730,0.054857759029396394
18,267290,경동도시가스보통주,1086023.0,5895406,0.18421513293571298
19,012320,경동인베스트보통주,7701.0,2365023,0.003256205119358247
20,000050,경방보통주,226062.0,27415270,0.008245842554167805
21,214390,경보제약보통주,215285.0,23906860,0.009005155842297984
22,012610,경인양행보통주,214380.0,41436365,0.005173716372080418
23,198440,고려시멘트,70183.0,31979960,0.0021945931139376036
24,348150,고바이오랩,4591.0,15749514,0.000291501058381865
25,098460,고영테크놀러지,157078.0,13730951,0.011439702901860185
26,035290,골드앤에스,4139.0,36223910,0.0001142615471383404
27,038530,골드퍼시픽,14335.0,69513992,0.0002062174763319592
28,215000,골프존,281031.0,6275415,0.04478285499843437
29,121440,골프존뉴딘홀딩스,57481.0,42836818,0.0013418597058259556
30,014200,광림,104253.0,52922234,0.0019699281780130445
31,017040,광명전기보통주,112536.0,43337615,0.0025967280386795626
32,029480,광무,25007.0,79665776,0.00031389890685305067
33,037710,광주신세계보통주,147508.0,1600000,0.0921925
34,053270,구영테크,84841.0,26394174,0.00321438359844108
35,005320,국동보통주,167078.0,42352414,0.003944946325845795
36,001140,국보보통주,53289.0,50834861,0.0010482766934289444
37,066620,국보디자인,253811.0,7500000,0.03384146666666667
38,043650,국순당,50346.0,17858304,0.0028191926848148627
39,006050,국영지앤엠,64386.0,34895243,0.0018451225572494222
40,307750,국전약품,80623.0,38538019,0.002092037994999172
41,035080,그래디언트,169182.0,81189163,0.0020838002727038827
42,204020,그리티,119858.0,20147430,0.005949046602966235
43,186230,그린플러스,55545.0,9607742,0.005781275142484051
44,083450,글로벌스탠다드테크놀로지,154150.0,9317745,0.016543702365754805
45,008870,금비보통주,79341.0,1000000,0.079341
46,001570,금양보통주,120928.0,47815112,0.002529074908367882
47,214330,금호에이치티보통주,181174.0,125257661,0.0014464105313286985
48,036190,금화피에스시,205790.0,6000000,0.03429833333333333
49,049080,기가레인,37871.0,72049635,0.0005256237592320905
50,035460,기산텔레콤,26787.0,14577340,0.001837578049218856
51,013700,까뮤이앤씨보통주,161729.0,45152280,0.0035818567744530286
52,308100,까스텔바작,67130.0,6596700,0.010176300271347796
53,187790,나노,36340.0,25797855,0.001408644245810359
54,286750,나노브릭,8652.0,4560103,0.0018973255647953566
55,121600,나노신소재,48524.0,10848333,0.00447294529030405
56,039860,나노엔텍,27440.0,26796327,0.0010240209413775255
57,190510,나무가,388515.0,6871090,0.056543430518302046
58,089600,나스미디어,82058.0,8754691,0.009373032126433702
59,138610,나이벡,6357.0,9902979,0.0006419280501352169
60,130580,나이스디앤비,60301.0,15400000,0.003915649350649351
61,034310,NICE보통주,38981.0,37882300,0.0010290029908426891
62,267320,나인테크,65866.0,39396554,0.0016718721134848494
63,008350,남선알미늄보통주,268475.0,110179090,0.002436714625252396
64,004270,남성보통주,66948.0,36212160,0.0018487712414835239
65,168330,내츄럴엔도텍,13273.0,20665822,0.0006422681856061666
66,094860,네오리진,9473.0,51094062,0.00018540314919569323
67,253590,네오셈,47307.0,37575588,0.0012589822945684843
68,212560,네오오토,117499.0,7874963,0.014920578039541265
69,095660,네오위즈,224298.0,22033719,0.010179761301303698
70,042420,네오위즈홀딩스,990.0,8856866,0.00011177768750255452
71,950220,네오이뮨텍,0.0,98392010,0.0
72,311390,네오크레마,22125.0,7315995,0.0030241956152239034
73,085910,네오티스,38130.0,12486662,0.0030536583756331356
74,092730,네오팜,81466.0,8207361,0.009925967677064529
75,290660,네오펙트,2701.0,18906280,0.00014286258322631422
76,306620,네온테크,33816.0,37207622,0.000908846042351215
77,153460,네이블커뮤니케이션즈,11837.0,6530014,0.0018127066802613287
78,007390,네이처셀,16720.0,61306455,0.00027272821434545514
79,033640,네패스,269153.0,23059202,0.011672259950712952
80,330860,네패스아크,67845.0,10782436,0.006292177389228186
81,005720,넥센보통주,353361.0,53543977,0.006599453753687366
82,089140,넥스턴바이오사이언스,9685.0,11846520,0.0008175396656570874
83,137940,넥스트아이,18393.0,77116173,0.00023851027980862068
84,160550,넥스트엔터테인먼트월드,64241.0,27906106,0.00230204099418242
85,348210,넥스틴,49445.0,9563400,0.005170232344145388
86,225570,넥슨게임즈,81404.0,28850967,0.0028215345433655653
87,217270,넵튠,7493.0,31687822,0.00023646308035938854
88,104620,노랑풍선,19910.0,4765650,0.004177814149171676
89,090350,노루페인트 보통주,555014.0,20000000,0.0277507
90,000320,노루홀딩스보통주,19069.0,13291151,0.0014347139687149743
91,194700,노바렉스,222803.0,9003740,0.02474560571495845
92,285490,노바텍,18917.0,10081744,0.0018763618675499002
93,106520,노블엠앤비,28569.0,126917740,0.0002250985559623107
94,278650,노터스,43576.0,7619368,0.005719109511445043
95,006280,녹십자보통주,1227761.0,11686538,0.10505771683624354
96,142280,녹십자엠에스,110991.0,21117283,0.005255931835549109
97,234690,녹십자웰빙,75603.0,17752276,0.004258777860371256
98,005250,녹십자홀딩스보통주,78785.0,47028210,0.0016752710766580314
99,065560,녹원씨엔아이,16813.0,17260625,0.0009740666980483036
100,004370,농심보통주,2105700.0,6082642,0.3461818071818134
101,072710,농심홀딩스보통주,19291.0,4637790,0.004159524256165113
102,069140,누리플랜,37510.0,7102743,0.005281058317892115
103,040160,누리플렉스,67365.0,12055535,0.005587889712070016
104,332290,누보,,5205000,
105,060260,뉴보텍,42439.0,33433750,0.0012693460948891464
106,012340,뉴인텍,47852.0,30044502,0.0015927040494796685
107,270870,뉴트리,171098.0,9113224,0.018774694882952508
108,144960,뉴파워프라즈마,82235.0,43692624,0.0018821254589790717
109,085670,뉴프렉스,157437.0,22044315,0.007141841331880804
110,119860,다나와,161056.0,13074822,0.012318026203339518
111,064260,다날,195201.0,68949040,0.0028310909042388406
112,340360,다보링크,,6845000,
113,039560,다산네트웍스,31680.0,35090068,0.0009028195670638199
114,023590,다우기술보통주,246162.0,44866617,0.005486529104701609
115,032190,다우데이타,199692.0,38300000,0.005213890339425587
116,068240,다원시스,247510.0,27064407,0.00914522161893294
117,145210,다이나믹디자인보통주,42506.0,157607815,0.00026969474832196614
118,019680,대교보통주,586646.0,84702850,0.006925929883114913
119,006370,대구백화점보통주,85152.0,10821611,0.007868699031964833
120,008060,대덕보통주,5793.0,33890150,0.00017093462259683124
121,000490,대동보통주,637485.0,23728210,0.026866122644733842
122,048470,대동스틸,106358.0,10000000,0.0106358
123,004780,대륙제관,212222.0,15903199,0.013344610728948308
124,017650,대림제지,128737.0,9000000,0.014304111111111111
125,007720,대명소노시즌,129379.0,100800450,0.0012835160954142565
126,036480,대성미생물연구소,24801.0,3800000,0.0065265789473684215
127,025440,대성엘텍,292572.0,100791343,0.002902749296633541
128,104040,대성파인텍,32088.0,31301281,0.0010251337636948468
129,009190,대양금속보통주,140495.0,29565939,0.004751920782898185
130,047040,대우건설보통주,7637256.0,415622638,0.01837545720981637
131,003090,대웅보통주,87608.0,58141980,0.001506794230261852
132,069620,대웅제약보통주,944752.0,11586575,0.08153850469185242
133,007680,대원,146058.0,12133331,0.012037749567699093
134,290380,대유,33636.0,9444400,0.00356147558341451
135,002880,대유에이텍,370576.0,107410543,0.003450089624814577
136,290120,대유에이피,136361.0,10884773,0.012527684316429933
137,000300,대유플러스보통주,104127.0,118955127,0.0008753468860572945
138,012800,대창보통주,421320.0,91140499,0.004622752833512575
139,096350,대창솔루션,25433.0,163761009,0.0001553055892565977
140,140520,대창스틸,169290.0,20000000,0.0084645
141,131220,대한과학,41679.0,7454490,0.005591126958383471
142,003490,대한항공보통주,7405006.0,347820825,0.0212897143234595
143,016090,대현보통주,253199.0,44282310,0.005717836309804073
144,069460,대호에이엘보통주,121426.0,27134839,0.004474911386059818
145,021040,대호특수강,141665.0,73112826,0.001937621724538455
146,161570,더 미동,26281.0,15582830,0.0016865357576255405
147,298540,더네이쳐홀딩스,290420.0,7272328,0.039934942428339316
148,192080,더블유게임즈보통주,238873.0,18374502,0.013000243489592262
149,073570,더블유아이,25376.0,77842364,0.00032599215512005774
150,299170,더블유에스아이,26098.0,29237963,0.0008926066429456799
151,012510,더존비즈온보통주,303185.0,30280485,0.010012554290329233
152,317330,덕산테코피아,78379.0,18377428,0.004264960254503514
153,004830,덕성보통주,107265.0,15680000,0.0068408801020408165
154,090410,덕신하우징,119512.0,46084095,0.0025933459255302726
155,263800,데이타솔루션,92735.0,15898580,0.005832910863737517
156,206560,덱스터스튜디오,24095.0,25348136,0.0009505629920874655
157,261200,덴티스,41479.0,73789453,0.000562126405788643
158,145720,덴티움보통주,178843.0,11068830,0.01615735357756872
159,002150,도화엔지니어링보통주,609393.0,33720000,0.018072153024911032
160,006620,동구바이오제약,139216.0,9604000,0.014495626822157435
161,075970,동국알앤에스,63879.0,18400000,0.003471684782608696
162,100130,동국에스엔씨,161229.0,57143000,0.0028215004462488844
163,004140,동방보통주,555088.0,39971766,0.013887002140460845
164,099410,동방선기,21555.0,13541002,0.001591831978165279
165,007590,동방아그로보통주,128961.0,13617577,0.009470186950292258
166,026960,동서보통주,441093.0,99700000,0.004424202607823471
167,102260,동성케미컬보통주,212658.0,43993012,0.004833904075492717
168,033500,동성화인텍,387129.0,27493533,0.014080729457360027
169,088130,동아엘텍,89155.0,10662938,0.008361204013377926
170,028100,동아지질보통주,314648.0,11500000,0.027360695652173913
171,001520,동양보통주,444361.0,238684063,0.0018617120657946902
172,084670,동양고속보통주,83399.0,2895569,0.028802283765297945
173,060380,동양에스텍,136642.0,19700000,0.006936142131979696
174,088910,동우팜투테이블,276147.0,25831764,0.010690210703380536
175,094170,동운아나텍,70719.0,16162146,0.004375594676598021
176,013120,동원개발,630616.0,90808100,0.006944490634646029
177,049770,동원F&B보통주,1781268.0,3859124,0.4615731445789252
178,032960,동일기연,24726.0,3407309,0.00725675305644425
179,005290,동진쎄미켐,679979.0,51414494,0.013225434057563613
180,000150,두산보통주,1549336.0,16523835,0.09376370558045394
181,131970,두산테스나,132519.0,14759577,0.008978509343458826
182,016740,두올보통주,236980.0,27066680,0.008755414406199799
183,073190,듀오백,43212.0,11968040,0.0036106162746782264
184,030350,드래곤플라이,4169.0,17107393,0.0002436958103435164
185,203650,드림시큐리티,24875.0,50605754,0.0004915448942821799
186,223250,드림씨아이에스,23489.0,5595970,0.0041974849757950815
187,060570,드림어스컴퍼니,221815.0,56859847,0.0039010833075227938
188,192650,드림텍보통주,401396.0,65914378,0.006089657707154575
189,217620,디딤,78229.0,37049478,0.002111473743300783
190,016670,디모아,4891.0,86559394,5.650455454898402e-05
191,187870,디바이스이엔지,126173.0,7036609,0.017930938041320756
192,012030,DB Inc.보통주,224893.0,201173933,0.0011179032822309042
193,066670,디스플레이테크,36225.0,18691918,0.0019380033659467156
194,003160,디아이보통주,101864.0,31496785,0.003234107862119896
195,092200,디아이씨 보통주,351404.0,38888569,0.009036177186154626
196,078590,디아크,37468.0,78724637,0.000475937412070887
197,004840,디알비동일보통주,108822.0,19930000,0.005460210737581535
198,263690,디알젬,105933.0,11325610,0.009353403481136998
199,214680,디알텍,47664.0,51782343,0.000920468198976628
200,263720,디앤씨미디어,55064.0,12275111,0.0044858250161648235
201,141020,디에스앤엘,0.0,174440126,0.0
202,109740,디에스케이,32091.0,20354763,0.0015765843110037685
203,196490,디에이테크놀로지,33373.0,23570996,0.0014158502254211064
204,066900,디에이피,301340.0,22744503,0.013248915573138705
205,127120,디엔에이링크,13813.0,16393692,0.0008425801826702612
206,092070,디엔에프,83155.0,10761828,0.007726847149015948
207,007340,디엔오토모티브보통주,167728.0,9994005,0.016782861325364554
208,068790,디엠에스,223495.0,24573061,0.009095122500204594
209,039840,디오,77006.0,15523602,0.004960575515914412
210,219550,디와이디,30388.0,79827864,0.0003806690856716397
211,079810,디이엔티,22808.0,13036859,0.0017495011643525484
212,043360,디지아이,15466.0,9000000,0.0017184444444444445
213,197140,디지캡,15675.0,7409323,0.002115577900976918
214,068930,디지털대성,100643.0,29656989,0.003393567701697566
215,033130,디지틀조선일보,28389.0,37115267,0.0007648873979540548
216,263020,디케이앤디,37512.0,7763202,0.004832026784824097
217,290550,디케이티,134497.0,8231333,0.016339637820508537
218,187220,디티앤씨,43483.0,11241818,0.0038679686862036016
219,131180,딜리,27574.0,29350000,0.0009394889267461669
220,317120,라닉스,9127.0,9595500,0.0009511750299619614
221,171120,라이온켐텍,132571.0,18893576,0.00701672356784126
222,069540,라이트론,17240.0,23174379,0.0007439250044197517
223,347700,라이프시맨틱스,2665.0,9776917,0.0002725808145860295
224,214260,라파스,14811.0,8430916,0.0017567486142668247
225,115390,락앤락보통주,213217.0,53007638,0.004022382585694537
226,084650,랩지노믹스,119369.0,11450097,0.01042515185679213
227,217500,러셀,29130.0,31812000,0.0009156921916258016
228,141080,레고켐바이오사이언스,49394.0,24115838,0.002048197537236732
229,038390,레드캡투어,223607.0,8589480,0.02603265855441773
230,294140,레몬,80147.0,37000000,0.0021661351351351353
231,228670,레이,47098.0,6653267,0.0070789282919203455
232,228850,레이언스,87104.0,16591014,0.005250070911880371
233,281740,레이크머티리얼즈,46501.0,65730548,0.0007074488409863858
234,277810,레인보우로보틱스,5427.0,15870214,0.0003419613623357568
235,215100,로보로보,4386.0,17798454,0.00024642589744030576
236,090360,로보스타,130208.0,9750000,0.013354666666666667
237,108490,로보티즈,17015.0,11251000,0.0015123100168873878
238,067730,로지시스,32853.0,9673922,0.003396037305241866
239,038060,루멘스,135925.0,48103069,0.0028257032830899
240,085370,루트로닉,91878.0,25857703,0.0035532158444236133
241,060240,룽투코리아,51381.0,25429284,0.0020205445029439287
242,039980,리노스,85635.0,41540606,0.0020614769076791996
243,016100,리더스코스메틱,32440.0,18374829,0.0017654586064447186
244,012700,리드코프,321047.0,26446135,0.012139656702198638
245,302550,리메드,16633.0,6088916,0.0027316849173153316
246,042500,링네트,146692.0,15356878,0.009552201951464353
247,219420,링크제니시스,12855.0,10000000,0.0012855
248,027740,마니커보통주,215406.0,198472594,0.0010853186107901629
249,195500,마니커에프앤지,92298.0,10768000,0.008571508172362555
250,305090,마이크로디지탈,2290.0,7261600,0.00031535749697036465
251,098120,마이크로컨텍솔루션,38530.0,8312766,0.004635039648656055
252,147760,마이크로프랜드,51025.0,10819866,0.004715862470015803
253,169330,마크로밀엠브레인,37115.0,8968459,0.004138392113962945
254,038290,마크로젠,90534.0,10652628,0.008498747914599102
255,127160,매직마이크로,17122.0,80909216,0.000211619897540473
256,093520,매커스,80181.0,16163092,0.004960746372043171
257,100590,머큐리,117810.0,14763600,0.007979761033894172
258,067280,멀티캠퍼스,250841.0,5926779,0.04232332604269537
259,235980,메드팩토,0.0,20372842,0.0
260,041920,메디아나,67137.0,8650496,0.007761057863040454
261,054180,메디콕스,16190.0,43760276,0.0003699702442461743
262,086900,메디톡스,123329.0,5977449,0.020632380134067225
263,065650,메디프론디비티,31415.0,41712505,0.0007531314650127102
264,140410,메지온,28634.0,8892706,0.003219942276288005
265,241770,메카로,71443.0,10102240,0.007071995913777538
266,090370,메타랩스보통주,23796.0,63689937,0.0003736226022644676
267,059210,메타바이오메드,41841.0,23862351,0.0017534315876922605
268,058110,멕아이씨에스,64052.0,16050530,0.003990647037823673
269,096640,멜파스,50236.0,33853229,0.001483935254743351
270,012690,모나리자보통주,117131.0,36571255,0.003202815982114915
271,005360,모나미보통주,93093.0,18897307,0.004926257482084617
272,080420,모다이노칩,136405.0,79721622,0.0017110163664256605
273,080160,모두투어네트워크,42692.0,18900000,0.0022588359788359787
274,101330,모베이스,15785.0,23958188,0.0006588561705918661
275,012860,모베이스전자,607684.0,56953560,0.010669815899129045
276,363260,모비데이즈,,6810000,
277,348030,모비릭스,43727.0,9304000,0.004699806534823732
278,250060,모비스,772.0,32171314,2.3996533060477417e-05
279,033200,모아텍,26867.0,14331185,0.0018747228509017225
280,009680,모토닉보통주,178558.0,33000000,0.0054108484848484845
281,006920,모헨즈,31729.0,10920000,0.0029055860805860807
282,033920,무학보통주,136005.0,28500000,0.004772105263157894
283,218150,미래생명자원,32095.0,18671428,0.0017189365483989763
284,007120,미래아이앤지보통주,5773.0,129484148,4.458460814832716e-05
285,049950,미래컴퍼니,54226.0,8362306,0.006484574948584757
286,059090,미코,46650.0,31316603,0.001489625167838287
287,214610,미코바이오메드,45722.0,18262333,0.0025036231679709266
288,201490,미투온,17080.0,31257770,0.0005464241371025508
289,018700,바른손,3450.0,29471487,0.00011706229821386346
290,035620,바른손이앤에이,11462.0,73488503,0.00015596997533069901
291,064520,바른전자,22920.0,73686477,0.0003110475752559048
292,053030,바이넥스,132969.0,31761048,0.004186543214820871
293,301300,바이브컴퍼니,25571.0,5394170,0.004740488342043354
294,064550,바이오니아,158174.0,25132038,0.006293719594089425
295,314930,바이오다인,3671.0,5918200,0.000620289953026258
296,208710,바이오로그디바이스,73370.0,29358842,0.0024990767687635635
297,086820,바이오솔루션,7744.0,8091426,0.000957062451043858
298,038460,바이오스마트,60086.0,20087800,0.002991168769103635
299,086040,바이오톡스텍,25404.0,14625123,0.0017370110323174717
300,043150,바텍,153218.0,14854256,0.010314754236092336
301,323990,박셀바이오,0.0,15046000,0.0
302,003610,방림보통주,79948.0,42314090,0.0018893942892308448
303,267790,배럴,25896.0,7885500,0.0032840022826707248
304,046310,백금티앤에이,50622.0,16418641,0.0030832028058838733
305,035150,백산보통주,204722.0,24200000,0.008459586776859504
306,066410,버킷스튜디오,23256.0,41210734,0.0005643189951433527
307,206400,베노홀딩스,9431.0,22457437,0.0004199499702481632
308,177350,베셀,68728.0,11192368,0.006140612960545972
309,299910,베스파,66101.0,8071688,0.008189241209521478
310,007210,벽산보통주,268645.0,68560000,0.003918392648774796
311,225530,보광산업,56898.0,36338727,0.0015657675625235855
312,250000,보라티알,44164.0,6750733,0.006542104390738013
313,002760,보락보통주,38293.0,59900000,0.0006392821368948247
314,003850,보령보통주,541445.0,52120000,0.010388430544896392
315,226340,본느,24435.0,30699596,0.000795938813005878
316,008470,부-스타,100596.0,8404800,0.011968874928612221
317,014470,부방,4886.0,60052260,8.136246662490305e-05
318,338220,뷰노,1257.0,10855069,0.0001157984348141868
319,100120,뷰웍스,147531.0,10001865,0.014750349059900329
320,337930,브랜드엑스코퍼레이션,120908.0,19062968,0.006342559039075132
321,064480,브리지텍,44326.0,11952500,0.003708512863417695
322,251630,브이원텍,30445.0,15050580,0.002022845631198266
323,018290,브이티지엠피,105877.0,34159521,0.003099487255690734
324,044480,블루베리엔에프티,11799.0,20127806,0.0005862039807021192
325,033560,블루콤,54245.0,18088047,0.0029989417873582482
326,369370,블리츠웨이,,4210000,
327,121800,비덴트,10707.0,45673805,0.00023442321041568576
328,082800,비보존 헬스케어,28165.0,159753474,0.00017630289529728786
