회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원)
(주)아이디스홀딩스,054800,2020/12,7149631
(주)아이마켓코리아,122900,2020/12,2079858141
(주)아이비김영,339950,2020/12,45257135
(주)아이센스,099190,2020/12,171305246
(주)아이스크림에듀,289010,2020/12,115520448
(주)아이씨디,040910,2020/12,293846913
(주)아이씨에이치,368600,2020/12,16407923
(주)아이앤씨테크놀로지,052860,2020/12,21521067
(주)아이에스시,095340,2020/12,116524220
(주)아이에스이커머스,069920,2020/12,20766745
(주)아이에이,038880,2020/12,45467368
(주)아이에이치큐,003560,2020/12,79481871
(주)아이엘사이언스,307180,2020/12,15402733
(주)아이엠,101390,2020/12,21368085
(주)아이엠비씨,052220,2020/12,34996054
(주)아이오케이컴퍼니,078860,2020/12,20968142
(주)아이윈,090150,2020/12,81603990
(주)아이윈플러스,123010,2020/12,8052983
(주)아이즈비전,031310,2020/12,17455706
(주)아이컴포넌트,059100,2020/12,29117321
(주)아이퀘스트,262840,2020/12,15270479
(주)아이톡시,052770,2020/12,8491880
(주)아이티센,124500,2020/12,119508293
(주)아이티아이즈,372800,2020/12,51313533
(주)아이티엑스에이아이,099520,2020/12,31498814
(주)아이티엠반도체,084850,2020/12,359031037
(주)아이패밀리에스씨,114840,2020/12,79218233
(주)아즈텍더블유비이,032080,2020/12,36046351
(주)아진엑스텍,059120,2020/12,22649907
(주)아톤,158430,2020/12,24287266
(주)아프리카티비,067160,2020/12,186974363
(주)안랩,053800,2020/12,172627484
(주)안트로젠,065660,2020/12,4151233
(주)알로이스,297570,2020/12,25624535
(주)알루코,001780,2020/12,233612928
(주)알비더블유,361570,2020/12,35406268
(주)알에프세미,096610,2020/12,32460844
(주)알에프텍,061040,2020/12,96788344
(주)알엔투테크놀로지,148250,2020/12,23849146
(주)알체라,347860,2020/12,4562854
(주)알테오젠,196170,2020/12,26211819
(주)알톤스포츠,123750,2020/12,43593720
(주)알티캐스트,085810,2020/12,23967144
(주)알파홀딩스,117670,2020/12,61385700
(주)압타머사이언스,291650,2020/12,228506
(주)애니플러스,310200,2020/12,11219037
(주)애드바이오텍,179530,2020/12,9855191
(주)액션스퀘어,205500,2020/12,6334978
(주)액토즈소프트,052790,2020/12,44223640
(주)액트로,290740,2020/12,32919405
(주)앤디포스,238090,2020/12,62477952
(주)앤씨앤,092600,2020/12,80885910
(주)앱코,129890,2020/12,153173603
(주)야스,255440,2020/12,54934577
(주)어스앤에어로스페이스,263540,2020/12,16801152
(주)얼라인드제네틱스,238120,2020/12,6939147
(주)에너토크,019990,2020/12,22757589
(주)에넥스,011090,2020/12,231275141
(주)에스디생명공학,217480,2020/12,100635375
(주)에스디시스템,121890,2020/12,22592326
(주)에스비비테크,389500,2020/12,6606806
(주)에스비에스,034120,2020/12,756841751
(주)에스비에스콘텐츠허브,046140,2020/12,139394572
(주)에스씨디,042110,2020/12,176806937
(주)에스아이리소스,065420,2020/12,13425933
(주)에스앤더블류,103230,2020/12,33495872
(주)에스앤디,260970,2020/12,56537327
(주)에스앤에스텍,101490,2020/12,87374363
(주)에스에너지,095910,2020/12,165375234
(주)에스에스알,275630,2020/12,10339381
(주)에스에이엠티,031330,2020/12,1240458342
(주)에스에이티,060540,2020/12,16717382
(주)에스에이티이엔지,351320,2020/12,
(주)에스에프에이,056190,2020/12,835408571
(주)에스에프에이반도체,036540,2020/12,543233664
(주)에스엘바이오닉스,214310,2020/12,28633745
(주)에스엠라이프디자인그룹,063440,2020/12,25072356
(주)에스엠벡셀,010580,2020/12,70710479
(주)에스엠엔터테인먼트,041510,2020/12,302601884
(주)에스엠컬처앤콘텐츠,048550,2020/12,130340367
(주)에스엠코어,007820,2020/12,104035816
(주)에스원,012750,2020/12,2189076458
(주)에스제이그룹,306040,2020/12,92039016
(주)에스제이엠,123700,2020/12,59079959
(주)에스제이엠홀딩스,025530,2020/12,4242486
(주)에스지글로벌,001380,2020/12,80058079
(주)에스지세계물산,004060,2020/12,166834407
(주)에스지엔지,040610,2020/12,40389408
(주)에스코넥,096630,2020/12,39784067
(주)에스텍파마,041910,2020/12,61102371
(주)에스티아이,039440,2020/12,260178866
(주)에스티오,098660,2020/12,68274443
(주)에스티큐브,052020,2020/12,10121806
(주)에스폴리텍,050760,2020/12,135169595
(주)에스피시스템스,317830,2020/12,28461763
(주)에스피씨삼립,005610,2020/12,1265460902
(주)에스피지,058610,2020/12,225915823
(주)에쎈테크,043340,2020/12,50019264
(주)에이디칩스,054630,2020/12,20187929
(주)에이디테크놀로지,200710,2020/12,279705838
(주)에이루트,096690,2020/12,20862301
(주)에이블씨엔씨,078520,2020/12,225578133
(주)에이비프로바이오,195990,2020/12,24998301
(주)에이스침대,003800,2020/12,289067140
(주)에이스테크놀로지,088800,2020/12,133755381
(주)에이스토리,241840,2020/12,22095888
(주)에이엔피,015260,2020/12,82078262
(주)에이치비테크놀러지,078150,2020/12,243262950
(주)에이치시티,072990,2020/12,51156650
(주)에이치알에스,036640,2020/12,64996452
(주)에이치앤비디자인,227100,2020/12,39424924
(주)에이치엘사이언스,239610,2020/12,143035985
(주)에이치와이티씨,148930,2020/12,21306042
(주)에이치케이,044780,2020/12,48429047
(주)에이치피에스피,403870,2020/12,61174375
(주)에이치피오,357230,2020/12,103795726
(주)에이텍,045660,2020/12,98158276
(주)에이텍티앤,224110,2020/12,26675615
(주)에이트원,230980,2020/12,6850460
(주)에이티세미콘,089530,2020/12,126968145
(주)에이팩트,200470,2020/12,49630032
(주)에이프로,262260,2020/12,48648936
(주)에이프로젠,007460,2020/12,72536685
(주)에이프로젠헬스케어앤게임즈,109960,2020/12,10493327
(주)에이프릴바이오,397030,2020/12,0
(주)에이플러스에셋어드바이저,244920,2020/12,244048413
(주)에치에프알,230240,2020/12,72239823
(주)에코마케팅,230360,2020/12,56182434
(주)에코프로,086520,2020/12,101777272
(주)에코프로비엠,247540,2020/12,855210355
(주)에프알텍,073540,2020/12,24256680
(주)에프앤가이드,064850,2020/12,21071977
(주)에프앤리퍼블릭,064090,2020/12,32137066
(주)에프앤에프홀딩스,007700,2020/12,803490624
(주)에프에스엔,214270,2020/12,32380407
(주)에프에스티,036810,2020/12,162731463
(주)에프엔씨엔터테인먼트,173940,2020/12,52138125
(주)엑사이엔씨,054940,2020/12,142310932
(주)엑서지21,043090,2020/12,4588064
(주)엑세스바이오인코퍼레이션,950130,2020/12,108818913
(주)엑셈,205100,2020/12,28992946
(주)엑시콘,092870,2020/12,67418497
(주)엔바이오니아,317870,2020/12,8190363
(주)엔비티,236810,2020/12,44169234
(주)엔시스,333620,2020/12,36387319
(주)엔씨소프트,036570,2020/12,2242430937
(주)엔아이스틸,008260,2020/12,192571841
(주)엔에스,217820,2020/12,60343445
(주)엔에스엔,031860,2020/12,11133326
(주)엔에이치엔벅스,104200,2020/12,67746663
(주)엔에프씨,265740,2020/12,33276430
(주)엔이능률,053290,2020/12,75363857
(주)엔젠바이오,354200,2020/12,2479277
(주)엔지스테크널러지,208860,2020/12,3010695
(주)엔지켐생명과학,183490,2020/12,25818433
(주)엔케이,085310,2020/12,69334510
(주)엔케이맥스,182400,2020/12,9326065
(주)엔켐,348370,2020/12,137185577
(주)엔텔스,069410,2020/12,55531969
(주)엔피,291230,2020/12,
(주)엔피디,198080,2020/12,136121973
(주)엔피케이,048830,2020/12,58089391
(주)엘디티,096870,2020/12,12086538
(주)엘비루셈,376190,2020/12,209770316
(주)엘아이에스,138690,2020/12,205912829
(주)엘앤씨바이오,290650,2020/12,27877847
(주)엘앤에프,066970,2020/12,355967911
(주)엘앤케이바이오메드,156100,2020/12,19028637
(주)엘에스,006260,2020/12,165747000
(주)엘에스네트웍스,000680,2020/12,179429717
(주)엘에프,093050,2020/12,1115869526
(주)엘엑스세미콘,108320,2020/12,1161896286
(주)엘엑스세미콘,108320,2020/12,1161896286
(주)엘엑스인터내셔널,001120,2020/12,3258240041
(주)엘엑스하우시스,108670,2020/12,2596510000
(주)엘엠에스,073110,2020/12,92102562
(주)엘오티베큠,083310,2020/12,164960766
(주)엘지,003550,2020/12,1016202000
(주)엘지생활건강,051900,2020/12,4418256992
(주)엘지에너지솔루션,373220,2020/12,632954000
(주)엘지유플러스,032640,2020/12,12352879000
(주)엘지헬로비전,037560,2020/12,1056007269
(주)엘지화학,051910,2020/12,20830009000
(주)엠게임,058630,2020/12,42215823
(주)엠디에스테크,086960,2020/12,104466090
(주)엠로,058970,2020/12,40302325
(주)엠씨넥스,097520,2020/12,1165038768
(주)엠아이텍,179290,2020/12,40203174
(주)엠에스씨,009780,2020/12,145252776
(주)엠에스오토텍,123040,2020/12,229456558
(주)엠투아이코퍼레이션,347890,2020/12,33222849
(주)엠투엔,033310,2020/12,21403062
(주)엠플러스,259630,2020/12,158540805
(주)엠피대산,065150,2020/12,46747521
(주)엠피씨플러스,050540,2020/12,110690814
(주)연우,115960,2020/12,245653008
(주)연이비앤티,090740,2020/12,5457365
(주)영림원소프트랩,060850,2020/12,43811574
(주)영우디에스피,143540,2020/12,101611716
(주)영원무역,111770,2020/12,1140634941
(주)영원무역홀딩스,009970,2020/12,24236332
(주)영풍,000670,2020/12,1233370463
(주)영흥,012160,2020/12,186389542
(주)예림당,036000,2020/12,16701706
(주)예선테크,250930,2020/12,19117338
(주)예스코홀딩스,015360,2020/12,18004000
(주)예스티,122640,2020/12,63474902
(주)오공,045060,2020/12,57221578
(주)오디텍,080520,2020/12,37085721
(주)오뚜기,007310,2020/12,2305213296
(주)오로스테크놀로지,322310,2020/12,17537288
(주)오르비텍,046120,2020/12,47522413
(주)오리엔탈정공,014940,2020/12,69049057
(주)오리엔트바이오,002630,2021/03,25191325
(주)오리엔트정공,065500,2020/12,50503039
(주)오리온,271560,2020/12,769223241
(주)오리온홀딩스,001800,2020/12,26051792
(주)오리콤,010470,2020/12,82968896
(주)오비고,352910,2020/12,11618381
(주)오스코텍,039200,2020/12,23409943
(주)오스테오닉,226400,2020/12,12614551
(주)오스템,031510,2020/12,106707546
(주)오에스피,368970,2020/12,15566712
(주)오이솔루션,138080,2020/12,103171576
(주)오킨스전자,080580,2020/12,43140674
(주)오텍,067170,2020/12,135122820
(주)오파스넷,173130,2020/12,111973363
(주)오픈베이스,049480,2020/12,60405505
(주)오하임아이엔티,309930,2020/12,27805577
(주)옵투스제약,131030,2020/12,60826955
(주)옵트론텍,082210,2020/12,140224957
(주)옵티팜,153710,2020/12,13045854
(주)와이더플래닛,321820,2020/12,28799193
(주)와이비엠넷,057030,2020/12,52604367
(주)와이솔,122990,2020/12,185505932
(주)와이어블,065530,2020/12,88960417
(주)와이엔텍,067900,2020/12,99975458
(주)와이엠텍,273640,2020/12,17036669
(주)와이오엠,066430,2020/12,31802152
(주)와이제이엠게임즈,193250,2020/12,4642416
(주)와이즈버즈,273060,2020/12,12270204
(주)와이지-원,019210,2020/12,273249511
(주)와이지엔터테인먼트,122870,2020/12,153643086
(주)와이지플러스,037270,2020/12,70470966
(주)와이투솔루션,011690,2020/12,107392165
(주)와이티엔,040300,2020/12,126729817
(주)와이팜,332570,2020/12,37354123
(주)용평리조트,070960,2020/12,127150516
(주)우리기술,032820,2020/12,33130237
(주)우리넷,115440,2020/12,52351391
(주)우리로,046970,2020/12,97351105
(주)우성,006980,2020/12,349916550
(주)우신시스템,017370,2020/12,113377612
(주)우양,103840,2020/12,133059335
(주)우정바이오,215380,2020/12,37343960
(주)우주일렉트로닉스,065680,2020/12,194647226
(주)우진,105840,2020/12,39615475
(주)우진아이엔에스,010400,2020/12,140431201
(주)우진플라임,049800,2020/12,199854057
(주)웅진,016880,2020/12,160111865
(주)웅진씽크빅,095720,2020/12,632551724
(주)원림,005820,2020/12,38434353
(주)원바이오젠,307280,2020/12,0
(주)원방테크,053080,2020/12,162716871
(주)원익,032940,2020/12,46108309
(주)원익머트리얼즈,104830,2020/12,268589434
(주)원익아이피에스,240810,2020/12,1090819431
(주)원익큐브,014190,2020/12,192316296
(주)원익큐엔씨,074600,2020/12,236824290
(주)원익피앤이,131390,2020/12,118888428
(주)원익홀딩스,030530,2020/12,346741962
(주)원일특강,012620,2020/12,238843504
(주)원준,382840,2020/12,28986104
(주)원티드랩,376980,2020/12,14648005
(주)원풍,008370,2020/12,73605433
(주)월덱스,101160,2020/12,118013033
(주)웨이버스,336060,2020/12,
(주)웨이브일렉트로닉스,095270,2020/12,28209865
(주)웰크론,065950,2020/12,123679701
(주)웰크론한텍,076080,2020/12,200898086
(주)웹스,196700,2020/12,26842619
(주)웹젠,069080,2020/12,287993865
(주)위니아,071460,2020/12,596662225
(주)위니아에이드,377460,2020/12,418527072
(주)위닉스,044340,2020/12,362817545
(주)위드텍,348350,2020/12,54666372
(주)위메이드,112040,2020/12,35644129
(주)위메이드맥스,101730,2020/12,11297222
(주)위메이드플레이,123420,2020/12,90682832
(주)위세아이텍,065370,2020/12,24862449
(주)위스컴,024070,2020/12,94516833
(주)위지윅스튜디오,299900,2020/12,19488092
(주)위지트,036090,2020/12,29446990
(주)윈스,136540,2020/12,89255093
(주)윈팩,097800,2020/12,110094842
(주)윈하이텍,192390,2020/12,72822142
(주)윌링스,313760,2020/12,63238933
(주)윌비스,008600,2020/12,168285888
(주)유니드,014830,2020/12,566442618
(주)유니온,000910,2020/12,95684087
(주)유니온커뮤니티,203450,2020/12,43789956
(주)유니켐,011330,2020/12,117550682
(주)유니크,011320,2020/12,211725445
(주)유니테스트,086390,2020/12,113209218
(주)유니테크노,241690,2020/12,68634846
(주)유니트론텍,142210,2020/12,209700340
(주)유라테크,048430,2020/12,174335616
(주)유바이오로직스,206650,2020/12,28489676
(주)유비케어,032620,2020/12,100212405
(주)유비쿼스,264450,2020/12,110460865
(주)유비쿼스홀딩스,078070,2020/12,5996870
(주)유성티엔에스,024800,2020/12,243547805
(주)유수홀딩스,000700,2020/12,13876937
(주)유신,054930,2020/12,212258925
(주)유씨아이,038340,2020/12,8950191
(주)유아이디,069330,2020/12,28673460
(주)유에스티,263770,2020/12,50733874
(주)유유제약,000220,2020/12,81216971
(주)유일로보틱스,388720,2020/12,27952389
(주)유진로봇,056080,2020/12,24636973
(주)유진테크,084370,2020/12,160930675
(주)유테크,178780,2020/12,24318661
(주)유티아이,179900,2020/12,51373334
(주)유틸렉스,263050,2020/12,2036292
(주)유한양행,000100,2020/12,1567941075
(주)육일씨엔에쓰,191410,2020/12,27447280
(주)율호,072770,2020/12,60246213
(주)이건홀딩스,039020,2020/12,6977744
(주)이글루코퍼레이션,067920,2020/12,81421805
(주)이글벳,044960,2020/12,40356577
(주)이노룰스,296640,2020/12,10634043
(주)이노메트리,302430,2020/12,20494191
(주)이노션,214320,2020/12,324397021
(주)이노와이어리스,073490,2020/12,63212916
(주)이노인스트루먼트,215790,2020/12,6421154
(주)이노테라피,246960,2020/12,568191
(주)이녹스,088390,2020/12,8695684
(주)이녹스첨단소재,272290,2020/12,327751149
(주)이라이콤,041520,2020/12,208014703
(주)이랜시스,264850,2020/12,43648552
(주)이랜텍,054210,2020/12,137625198
(주)이루다,164060,2020/12,21030260
(주)이루온,065440,2020/12,21501699
(주)이마트,139480,2020/12,14213755650
(주)이미지스테크놀로지,115610,2020/12,17856445
(주)이브이수성,084180,2020/12,20678175
(주)이브이첨단소재,131400,2020/12,43842730
(주)이상네트웍스,080010,2020/12,23831505
(주)이수앱지스,086890,2020/12,25607265
(주)이수페타시스,007660,2020/12,335067412
(주)이수화학,005950,2020/12,943467231
(주)이스타코,015020,2020/12,5892498
(주)이스트소프트,047560,2020/12,23039537
(주)이씨에스텔레콤,067010,2021/03,74770793
(주)이아이디,093230,2020/12,77994442
(주)이엔드디,101360,2020/12,92319592
(주)이엔에프테크놀로지,102710,2020/12,405426292
(주)이엔코퍼레이션,066980,2020/12,13543024
(주)이엔플러스,074610,2020/12,25253145
(주)이엘피,063760,2020/12,25863911
(주)이엠넷,123570,2020/12,25443264
(주)이엠앤아이,083470,2020/12,4314810
(주)이엠텍,091120,2020/12,239472091
(주)이오테크닉스,039030,2020/12,306018089
(주)이원,017940,2020/12,3563455850
(주)이월드,084680,2020/12,131483805
(주)이즈미디어,181340,2020/12,21697105
(주)이지,037370,2020/12,42204065
(주)이지바이오,353810,2020/12,88123274
(주)이지트로닉스,377330,2020/12,15348581
(주)이지홀딩스,035810,2020/12,57000363
(주)이크레더블,092130,2020/12,41625441
(주)이퓨쳐,134060,2020/12,10738283
(주)인디에프,014990,2020/12,152427064
(주)인바디,041830,2020/12,71502122
(주)인바이오젠,101140,2020/12,10217712
(주)인산가,277410,2020/12,30588831
(주)인성정보,033230,2020/12,105395602
(주)인스코비,006490,2020/12,28795940
(주)인지디스플레이,037330,2020/12,271618913
(주)인지소프트,100030,2020/12,4664690
(주)인콘,083640,2020/12,50521118
(주)인터로조,119610,2020/12,87866596
(주)인터플렉스,051370,2020/12,248803864
(주)인텍플러스,064290,2020/12,56259572
(주)인텔리안테크놀로지스,189300,2020/12,93679648
(주)인트로메딕,150840,2020/12,5945899
(주)인트론바이오테크놀로지,048530,2020/12,45433157
(주)인팩,023810,2020/12,177827741
(주)인포마크,175140,2020/12,43505868
(주)인포바인,115310,2020/12,18684457
(주)인피니트헬스케어,071200,2020/12,36956067
(주)일승,333430,2020/12,
(주)일신바이오베이스,068330,2020/12,21035418
(주)일신석재,007110,2020/12,58742052
(주)일야,058450,2020/12,3131035
(주)일지테크,019540,2020/12,124138443
(주)일진파워,094820,2020/12,104992559
(주)잇츠한불,226320,2020/12,56565413
(주)잉크테크,049550,2020/12,44724583
(주)자비스,254120,2020/12,12275482
(주)자연과환경,043910,2020/12,29000331
(주)자이언트스텝,289220,2020/12,15535548
(주)장원테크,174880,2020/12,10814287
(주)저스템,417840,2020/12,43838796
(주)정다운,208140,2020/12,123887477
(주)정상제이엘에스,040420,2020/12,84038271
(주)정원엔시스,045510,2020/12,138330480
(주)제넥신,095700,2020/12,18543495
(주)제넨바이오,072520,2020/12,11845685
(주)제노레이,122310,2020/12,59415168
(주)제노코,361390,2020/12,34089086
(주)제노포커스,187420,2020/12,16716722
(주)제놀루션,225220,2020/12,85302770
(주)제닉,123330,2020/12,42142139
(주)제로투세븐,159580,2020/12,139580202
(주)제우스,079370,2020/12,212125124
(주)제이브이엠,054950,2020/12,100348623
(주)제이스텍,090470,2020/12,114448676
(주)제이시스메디칼,287410,2020/12,
(주)제이아이테크,417500,2020/12,19893358
(주)제이앤티씨,204270,2020/12,119772099
(주)제이에스코퍼레이션,194370,2020/12,161122598
(주)제이에스티나,026040,2020/12,59781522
(주)제이엘케이,322510,2020/12,4489991
(주)제이와이피엔터테인먼트,035900,2020/12,130009012
(주)제이웨이,058420,2020/12,5318343
(주)제이티,089790,2020/12,44608947
(주)제이티씨,950170,2021/02,14707534
(주)제일기획,030000,2020/12,870684464
(주)제일바이오,052670,2020/12,18999123
(주)제일테크노스,038010,2020/12,131437899
(주)제주반도체,080220,2020/12,110454753
(주)제주항공,089590,2020/12,374030898
(주)제테마,216080,2020/12,20659506
(주)젠큐릭스,229000,2020/12,1451901
(주)젬백스&카엘,082270,2020/12,65663215
(주)젬백스링크,064800,2020/12,93561526
(주)조비,001550,2020/12,73654579
(주)조이시티,067000,2020/12,164110311
(주)조흥,002600,2020/12,222604296
(주)종근당,185750,2020/12,1300544358
(주)종근당바이오,063160,2020/12,124318896
(주)종근당홀딩스,001630,2020/12,23561264
(주)좋은사람들,033340,2020/12,111683305
(주)주연테크,044380,2020/12,62660877
(주)중앙디앤엠,051980,2020/12,6179114
(주)중앙백신연구소,072020,2020/12,36317532
(주)중앙에너비스,000440,2020/12,53553150
(주)지노믹트리,228760,2020/12,1774188
(주)지놈앤컴퍼니,314130,2020/12,150581
(주)지누스,013890,2020/12,203704518
(주)지니뮤직,043610,2020/12,246967532
(주)지니틱스,303030,2020/12,40393272
(주)지란지교시큐리티,208350,2020/12,24593734
(주)지씨셀,144510,2020/12,79371951
(주)지아이텍,382480,2020/12,17189215
(주)지앤비에스엔지니어링,382800,2020/12,42391688
(주)지어소프트,051160,2020/12,54822256
(주)지에스,078930,2020/12,306286000
(주)지에스글로벌,001250,2020/12,2323734433
(주)지에스리테일,007070,2020/12,8569243340
(주)지에스이,053050,2020/12,120801424
(주)지엔씨에너지,119850,2020/12,117306252
(주)지엔코,065060,2020/12,82475272
(주)지오엘리먼트,311320,2020/12,13179767
(주)지투알,035000,2020/12,31903193
(주)지티지웰니스,219750,2020/12,17968287
(주)진도,088790,2020/12,54472264
(주)진로발효,018120,2020/12,99915382
(주)진매트릭스,109820,2020/12,15901382
(주)진바이오텍,086060,2020/12,24687789
(주)진성티이씨,036890,2020/12,201571072
(주)진시스템,363250,2020/12,13258238
(주)진양홀딩스,100250,2020/12,12919829
(주)진에어,272450,2020/12,271769078
(주)차바이오텍,085660,2020/12,26759597
(주)차백신연구소,261780,2020/12,77796
(주)창해에탄올,004650,2020/12,101113367
(주)천보,278280,2020/12,89650588
(주)천일고속,000650,2020/12,31159428
(주)청담글로벌,362320,2020/12,70386755
(주)체리부로,066360,2020/12,278038085
(주)초록뱀미디어,047820,2020/12,25261191
(주)초록뱀컴퍼니,052300,2020/12,16239911
(주)초록뱀헬스케어,118000,2020/12,6623822
(주)칩스앤미디어,094360,2020/12,15400623
(주)카나리아바이오,016790,2020/12,107476952
(주)카스,016920,2020/12,120551056
(주)카이노스메드,284620,2020/12,0
(주)카카오,035720,2020/12,1779194942
(주)카카오게임즈,293490,2020/12,378003050
(주)카카오페이,377300,2020/12,245556235
(주)카프로,006380,2020/12,254722726
(주)캐리소프트,317530,2020/12,3505092
(주)캐스텍코리아,071850,2020/12,85688524
(주)캠시스,050110,2020/12,582650185
(주)컴투스,078340,2020/12,503003046
(주)컴투스홀딩스,063080,2020/12,63106796
(주)케스피온,079190,2020/12,13180847
(주)케어랩스,263700,2020/12,58745689
(주)케어젠,214370,2020/12,60290657
(주)케이비지,318000,2020/12,19787711
(주)케이사인,192250,2020/12,31083926
(주)케이씨,029460,2020/12,155806307
(주)케이씨씨,002380,2020/12,2071850766
(주)케이씨씨건설,021320,2020/12,1101612750
(주)케이씨씨글라스,344820,2020/12,708657396
(주)케이씨아이,036670,2020/12,73251257
(주)케이씨에스,115500,2020/12,30510038
(주)케이씨텍,281820,2020/12,319894705
(주)케이씨티,089150,2020/12,20477337
(주)케이씨티시,009070,2020/12,353271002
(주)케이씨피드,025880,2020/12,64511066
(주)케이아이엔엑스,093320,2020/12,61275182
(주)케이에스에스해운,044450,2020/12,225806307
(주)케이에스피,073010,2020/12,39437590
(주)케이에이치바텍,060720,2020/12,26751859
(주)케이에이치필룩스,033180,2020/12,68067980
(주)케이엑스이노베이션,122450,2020/12,34525202
(주)케이엑스하이텍,052900,2020/12,74741113
(주)케이엔더블유,105330,2020/12,17975193
(주)케이엔엔,058400,2020/12,49817041
(주)케이엔제이,272110,2020/12,42512516
(주)케이엘넷,039420,2020/12,39063159
(주)케이엠,083550,2020/12,143036628
(주)케이엠더블유,032500,2020/12,326486158
(주)케이옥션,102370,2020/12,22885348
(주)케이이씨,092220,2020/12,190463286
(주)케이지모빌리언스,046440,2020/12,204350244
(주)케이지이니시스,035600,2020/12,515820849
(주)케이티,030200,2020/12,17879281000
(주)케이티서브마린,060370,2020/12,52225722
(주)케이티스카이라이프,053210,2020/12,660403891
(주)케이티씨에스,058850,2020/12,512072870
(주)케이티아이에스,058860,2020/12,453639145
(주)케이티알파,036030,2020/12,349313941
(주)케이티앤지,033780,2020/12,3435384230
(주)케이프,064820,2020/12,44900573
(주)케이피에스,256940,2020/12,15228576
(주)케이피에프,024880,2020/12,245023257
(주)케이피엠테크,042040,2020/12,23208098
(주)케이피티유,054410,2020/12,25910977
(주)케일럼,258610,2020/12,11078266
(주)켐온,217600,2020/12,24767180
(주)켐트로닉스,089010,2020/12,297712843
(주)켐트로스,220260,2020/12,43539515
(주)코난테크놀로지,402030,2020/12,14001472
(주)코다코,046070,2020/12,186039686
(주)코데즈컴바인,047770,2020/12,30521840
(주)코디,080530,2020/12,34120401
(주)코렌텍,104540,2020/12,40496102
(주)코리아나화장품,027050,2020/12,73428075
(주)코리아센터,290510,2020/12,77942973
