회사명,거래소코드,회계년도,부채비율,유동비율
(주)BNK금융지주,138930,2020/12,,
(주)CMG제약,058820,2020/12,7.85,1069.54
(주)DB하이텍,000990,2020/12,48.29,174.09
(주)ES큐브,050120,2020/12,12.4,90.15
(주)HJ중공업,097230,2020/12,583.21,103.45
(주)JB금융지주,175330,2020/12,,
(주)KB금융지주,105560,2020/12,,
(주)MH에탄올,023150,2020/12,69.27,117.69
(주)SH에너지화학,002360,2020/12,29.79,917.82
(주)SIMPAC,009160,2020/12,51.22,125.85
(주)SNT에너지,100840,2020/12,40.37,257.09
(주)SNT홀딩스,036530,2020/12,0.07,8808.28
(주)STX,011810,2020/12,1303.36,49.62
(주)TCC스틸,002710,2020/12,165.86,92.8
(주)가비아,079940,2020/12,68.07,80.56
(주)가온칩스,399720,2020/12,134.78,215.26
(주)강스템바이오텍,217730,2020/12,32.41,856.3
(주)강원랜드,035250,2020/12,12.06,452.28
(주)강원에너지,114190,2020/12,91.72,177.21
(주)갤럭시아에스엠,011420,2020/12,37.82,221.64
(주)경농,002100,2020/12,51.62,158.64
(주)경동나비엔,009450,2020/12,90.27,125.21
(주)경동도시가스,267290,2020/12,96.46,125.27
(주)경동인베스트,012320,2020/12,0.47,3110.59
(주)경방,000050,2020/12,59.64,30.22
(주)경보제약,214390,2020/12,62.27,147.38
(주)경인양행,012610,2020/12,101.53,107.54
(주)고려시멘트,198440,2020/12,24.88,367.97
(주)고바이오랩,348150,2020/12,2.85,26230.41
(주)고영테크놀러지,098460,2020/12,19.97,715.4
(주)골드앤에스,035290,2020/12,42.42,429.98
(주)골드퍼시픽,038530,2020/12,19.56,366.52
(주)골프존,215000,2020/12,52.27,147.28
(주)골프존뉴딘홀딩스,121440,2020/12,20.05,372.85
(주)공구우먼,366030,2020/12,12.82,440.35
(주)광림,014200,2020/12,58.57,66.64
(주)광명전기,017040,2020/12,51.25,205.86
(주)광무,029480,2020/12,53.17,191.88
(주)광주신세계,037710,2020/12,12.34,201.12
(주)구영테크,053270,2020/12,157.34,83.14
(주)국동,005320,2020/12,103.36,141.94
(주)국보,001140,2020/12,137.72,71.95
(주)국보디자인,066620,2020/12,63.17,98.2
(주)국순당,043650,2020/12,7.5,673.27
(주)국영지앤엠,006050,2020/12,37.28,215.19
(주)국전약품,307750,2020/12,79.34,179.07
(주)그래디언트,035080,2020/12,62.94,71.03
(주)그리티,204020,2020/12,12.72,745.48
(주)그린플러스,186230,2020/12,117.5,149.81
(주)글로벌스탠다드테크놀로지,083450,2020/12,22.81,370.18
(주)금비,008870,2020/09,89.94,85.44
(주)금양,001570,2020/12,245.3,78.92
(주)금호에이치티,214330,2020/12,46.97,173.94
(주)금화피에스시,036190,2020/12,11.04,568.01
(주)기가레인,049080,2020/12,98.2,205.88
(주)기산텔레콤,035460,2020/12,43.35,294.24
(주)까뮤이앤씨,013700,2020/12,100.83,105.83
(주)까스텔바작,308100,2020/12,25.19,798.04
(주)나노,187790,2020/12,61.52,123.82
(주)나노브릭,286750,2020/12,56.55,169.59
(주)나노신소재,121600,2020/12,15.51,718.63
(주)나노엔텍,039860,2020/12,13.48,845.27
(주)나래나노텍,137080,2020/12,176.25,62.99
(주)나무가,190510,2020/12,216.24,121.12
(주)나스미디어,089600,2020/12,115.73,155.21
(주)나이벡,138610,2020/12,66.71,571.7
(주)나이스디앤비,130580,2020/12,26.38,302.07
(주)나이스홀딩스,034310,2020/12,51.5,12.19
(주)나인테크,267320,2020/12,158.73,173.97
(주)남선알미늄,008350,2020/12,59.1,190.3
(주)남성,004270,2020/12,104.57,86.16
(주)내츄럴엔도텍,168330,2020/12,227.36,65.57
(주)네오리진,094860,2020/12,19.24,575.17
(주)네오셈,253590,2020/12,47.69,301.3
(주)네오오토,212560,2020/12,74.64,106.22
(주)네오위즈,095660,2020/12,14.14,340.12
(주)네오위즈홀딩스,042420,2020/12,0.37,36340.7
(주)네오이뮨텍,950220,2020/12,13.74,866.57
(주)네오크레마,311390,2020/12,18.91,1846.13
(주)네오티스,085910,2020/12,133.49,117.67
(주)네오팜,092730,2020/12,13.14,753.01
(주)네오펙트,290660,2020/12,83.45,89.64
(주)네온테크,306620,2020/12,113.86,102.01
(주)네이블커뮤니케이션즈,153460,2020/12,10.64,844.26
(주)네이처셀,007390,2020/12,36.8,274.57
(주)네패스,033640,2020/12,80.64,192.41
(주)네패스아크,330860,2020/12,103.94,183.36
(주)넥센,005720,2020/12,17.01,165.24
(주)넥스턴바이오사이언스,089140,2020/12,2.67,3228.57
(주)넥스트아이,137940,2020/12,37.25,160.47
(주)넥스트엔터테인먼트월드,160550,2020/12,64.74,81.97
(주)넥스트칩,396270,2020/12,,
(주)넥스틴,348210,2020/12,17.84,606.09
(주)넥슨게임즈,225570,2020/12,42.22,534.38
(주)넵튠,217270,2020/12,28.3,125.73
(주)노랑풍선,104620,2020/12,60.75,106.15
(주)노루페인트,090350,2020/12,94.44,116.03
(주)노루홀딩스,000320,2020/12,20.43,324.26
(주)노바렉스,194700,2020/12,85.89,172.41
(주)노바텍,285490,2020/12,12.96,736.14
(주)노블엠앤비,106520,2020/12,506.73,89.01
(주)노터스,278650,2020/12,33.98,173.4
(주)녹십자,006280,2020/12,69.3,188.14
(주)녹십자엠에스,142280,2020/12,78.43,150.47
(주)녹십자웰빙,234690,2020/12,37.91,254
(주)녹십자홀딩스,005250,2020/12,71.31,32.24
(주)녹원씨엔아이,065560,2020/12,64.95,64.86
(주)농심,004370,2020/12,25.8,157.85
(주)농심홀딩스,072710,2020/12,0.79,1323.32
(주)누리플랜,069140,2020/12,77.72,71.07
(주)누리플렉스,040160,2020/12,61.47,141.03
(주)누보,332290,2020/12,,
(주)뉴로메카,348340,2020/12,448.44,94.63
(주)뉴보텍,060260,2020/12,141.26,164.11
(주)뉴인텍,012340,2020/12,77.22,115.28
(주)뉴트리,270870,2020/12,35.87,360.79
(주)뉴파워프라즈마,144960,2020/12,61.83,271.98
(주)뉴프렉스,085670,2020/12,191.59,89.98
(주)다나와,119860,2020/12,10.14,899.43
(주)다날,064260,2020/12,99.42,220.46
(주)다보링크,340360,2020/12,,
(주)다산네트웍스,039560,2020/12,29.73,89.93
(주)다우기술,023590,2020/12,75.29,135.52
(주)다우데이타,032190,2020/12,161.91,95.07
(주)다원시스,068240,2020/12,162.53,112.33
(주)다이나믹디자인,145210,2020/12,128.15,177.75
(주)대교,019680,2020/12,39.58,129.98
(주)대구백화점,006370,2020/12,45.24,67.82
(주)대덕,008060,2020/12,0.78,3981.31
(주)대동,000490,2020/12,167.56,93.18
(주)대동스틸,048470,2020/12,27.71,345.59
(주)대륙제관,004780,2020/12,45.43,269.46
(주)대림제지,017650,2020/12,30.84,216.75
(주)대명소노시즌,007720,2020/12,42.14,296.23
(주)대성미생물연구소,036480,2020/12,71.47,518.92
(주)대성엘텍,025440,2020/12,210.1,105.18
(주)대성파인텍,104040,2020/12,61.33,112.52
(주)대성하이텍,129920,2020/12,274.72,133.38
(주)대양금속,009190,2020/12,53.44,259.26
(주)대우건설,047040,2020/12,254.38,113.35
(주)대웅,003090,2020/12,5.98,599.24
(주)대웅제약,069620,2020/12,106.02,128.7
(주)대원,007680,2020/12,57.81,215.89
(주)대유,290380,2020/12,43.16,327.94
(주)대유에이텍,002880,2020/12,243.81,46.59
(주)대유에이피,290120,2020/12,236.11,67.59
(주)대유플러스,000300,2020/12,114.44,63.93
(주)대창,012800,2020/12,149.32,95.93
(주)대창솔루션,096350,2020/12,154.71,59.6
(주)대창스틸,140520,2020/12,164.3,52.34
(주)대한과학,131220,2020/12,25.99,280.72
(주)대한항공,003490,2020/12,634.47,47.46
(주)대현,016090,2020/12,24.26,363.66
(주)대호에이엘,069460,2020/12,269.02,78.59
(주)대호특수강,021040,2020/12,131.81,131.52
(주)더 미동,161570,2020/12,8.17,826.38
(주)더네이쳐홀딩스,298540,2020/12,56.53,298.73
(주)더블유게임즈,192080,2020/12,6.1,380.23
(주)더블유아이,073570,2020/12,28.89,339.13
(주)더블유에스아이,299170,2020/12,12.17,1311
(주)더존비즈온,012510,2020/12,103.03,101.56
(주)더코디,224060,2020/12,22.49,110.11
(주)덕산테코피아,317330,2020/12,7.19,715.81
(주)덕성,004830,2020/12,59.11,176.76
(주)덕신하우징,090410,2020/12,76.85,146.43
(주)데이타솔루션,263800,2020/12,170.06,136.36
(주)덱스터스튜디오,206560,2020/12,19.66,420.75
(주)덴티스,261200,2020/12,189.71,100.84
(주)덴티움,145720,2020/12,120.88,89.37
(주)도화엔지니어링,002150,2020/12,65.19,118.75
(주)동구바이오제약,006620,2020/12,52.51,178.61
(주)동국알앤에스,075970,2020/12,60.87,155.21
(주)동국에스엔씨,100130,2020/12,19.83,369.09
(주)동남합성,023450,2020/12,65.86,101.15
(주)동방,004140,2020/12,383.74,50.12
(주)동방선기,099410,2020/12,15.51,583.58
(주)동방아그로,007590,2020/12,38.51,412.76
(주)동서,026960,2020/12,8.79,1494.65
(주)동성케미컬,102260,2020/12,50.07,75.3
(주)동성화인텍,033500,2020/12,119.56,103.39
(주)동아엘텍,088130,2020/12,22.58,345.77
(주)동아지질,028100,2020/12,74.71,179.02
(주)동양,001520,2020/12,16.84,206.03
(주)동양고속,084670,2020/12,57,18.56
(주)동양에스텍,060380,2020/12,77.92,190.89
(주)동우팜투테이블,088910,2020/12,35.95,431.88
(주)동운아나텍,094170,2020/12,135.04,278.95
(주)동원개발,013120,2020/12,18.23,711.58
(주)동원에프앤비,049770,2020/12,101.04,245.12
(주)동일기연,032960,2020/12,6.62,1146.59
(주)동진쎄미켐,005290,2020/12,105.81,113.14
(주)두산,000150,2020/12,104.04,76.37
(주)두산테스나,131970,2020/12,103.78,41.53
(주)두올,016740,2020/12,74.39,188.99
(주)듀오백,073190,2020/12,22.88,269.92
(주)드래곤플라이,030350,2020/12,189.38,78.33
(주)드림시큐리티,203650,2020/12,24.25,94.61
(주)드림씨아이에스,223250,2020/12,33.26,365.9
(주)드림어스컴퍼니,060570,2020/12,77.99,198.51
(주)드림텍,192650,2020/12,37.34,146.03
(주)디딤,217620,2020/12,1471.61,55.37
(주)디모아,016670,2020/12,109.66,81.26
(주)디바이스이엔지,187870,2020/12,59.42,221.91
(주)디비아이엔씨,012030,2020/12,44.96,57.87
(주)디스플레이테크,066670,2020/12,10.03,567.36
(주)디아이,003160,2020/12,63.21,147.97
(주)디아이씨,092200,2020/12,4908.25,36.56
(주)디아크,078590,2020/12,318.17,14.12
(주)디알비동일,004840,2020/12,50.3,120.73
(주)디알젬,263690,2020/12,37.88,306.31
(주)디알텍,214680,2020/12,145.39,214.06
(주)디앤씨미디어,263720,2020/12,20.56,539.89
(주)디어유,376300,2020/12,,
(주)디에스앤엘,141020,2020/12,0,0.39
(주)디에스케이,109740,2020/12,38.59,148.37
(주)디에이테크놀로지,196490,2020/12,21.86,310.8
(주)디에이피,066900,2020/12,113.39,100.49
(주)디엔에이링크,127120,2020/12,39.75,313.38
(주)디엔에프,092070,2020/12,13.6,298.05
(주)디엔오토모티브,007340,2020/12,8.41,279.71
(주)디엠에스,068790,2020/12,75.36,134.07
(주)디오,039840,2020/12,79.7,159.17
(주)디와이디,219550,2020/12,19.72,533.53
(주)디이엔티,079810,2020/12,103.09,150.21
(주)디지비금융지주,139130,2020/12,,
(주)디지아이,043360,2020/12,10.87,608.8
(주)디지캡,197140,2020/12,43.35,84.97
(주)디지털대성,068930,2020/12,57.14,59.33
(주)디지틀조선일보,033130,2020/12,7.41,906.52
(주)디케이앤디,263020,2020/12,15.74,413.91
(주)디케이티,290550,2020/12,20.83,461.33
(주)디티앤씨,187220,2020/12,87.22,66.97
(주)딜리,131180,2020/12,10.93,886.96
(주)딥노이드,315640,2020/12,0,864.52
(주)라닉스,317120,2020/12,88.38,467.01
(주)라온테크,232680,2020/12,451.18,114.02
(주)라이온켐텍,171120,2020/12,23.48,267.92
(주)라이트론,069540,2020/12,38.02,317.7
(주)라이프시맨틱스,347700,2020/12,336.41,226.76
(주)라파스,214260,2020/12,24.53,620.59
(주)락앤락,115390,2020/12,13.93,242.91
(주)래몽래인,200350,2020/12,15.81,573.11
(주)랩지노믹스,084650,2020/12,33.64,318.4
(주)러셀,217500,2020/12,7.23,1166.03
(주)레고켐바이오사이언스,141080,2020/12,21.21,713.89
(주)레드캡투어,038390,2020/12,168.63,21.4
(주)레몬,294140,2020/12,63.96,74.43
(주)레이,228670,2020/12,29.68,412.57
(주)레이언스,228850,2020/12,7.94,1393.04
(주)레이크머티리얼즈,281740,2020/12,122.83,105.48
(주)레인보우로보틱스,277810,2020/12,73.35,163.17
(주)로보로보,215100,2020/12,5.02,1388.89
(주)로보스타,090360,2020/12,72,178.91
(주)로보티즈,108490,2020/12,15.1,4527.54
(주)로지시스,067730,2020/12,46.49,281.03
(주)루닛,328130,2020/12,0,14.35
(주)루멘스,038060,2020/12,80.14,113.59
(주)루트로닉,085370,2020/12,66.44,219.95
(주)룽투코리아,060240,2020/12,7.5,955.37
(주)리노스,039980,2020/12,25.52,467.7
(주)리더스기술투자,019570,2020/03,,
(주)리더스코스메틱,016100,2020/12,172.26,25.04
(주)리드코프,012700,2020/12,141.45,77.99
(주)리메드,302550,2020/12,194.45,1041.68
(주)리파인,377450,2020/12,37.03,343.23
(주)링네트,042500,2020/12,79.32,204.54
(주)링크제니시스,219420,2020/12,25.32,451.29
(주)마니커,027740,2020/12,164.39,53.33
(주)마니커에프앤지,195500,2020/12,110.29,187.86
(주)마이크로디지탈,305090,2020/12,172.16,128.22
(주)마이크로컨텍솔루션,098120,2020/12,22.81,364.44
(주)마이크로프랜드,147760,2020/12,38.39,234.38
(주)마인즈랩,377480,2020/12,0,41.65
(주)마크로밀엠브레인,169330,2020/06,45.88,349.16
(주)마크로젠,038290,2020/12,54.58,170.09
(주)매직마이크로,127160,2020/12,266.48,57.75
(주)매커스,093520,2020/12,64.84,201.5
(주)맥스트,377030,2020/12,,
(주)머큐리,100590,2020/12,57.27,219.84
(주)멀티캠퍼스,067280,2020/12,63.15,167.83
(주)메드팩토,235980,2020/12,4.94,1989.92
(주)메디아나,041920,2020/12,12.34,676.93
(주)메디콕스,054180,2020/12,128.5,16.39
(주)메디톡스,086900,2020/12,93.9,100.95
(주)메디프론디비티,065650,2020/12,61.69,110.38
(주)메리츠금융지주,138040,2020/12,,
(주)메지온,140410,2020/12,25.61,505.06
(주)메카로,241770,2020/12,9.84,664.33
(주)메타랩스,090370,2020/12,21.68,151.43
(주)메타바이오메드,059210,2020/12,104.73,108.59
(주)멕아이씨에스,058110,2020/12,71.63,273.18
(주)멜파스,096640,2020/12,97.94,30.08
(주)모나리자,012690,2020/12,28.23,281.52
(주)모나미,005360,2020/12,114.08,70.81
(주)모다이노칩,080420,2020/12,119.76,52.65
(주)모두투어네트워크,080160,2020/12,129.68,262.32
(주)모베이스,101330,2020/12,29.37,260.89
(주)모베이스전자,012860,2020/12,293.31,76.4
(주)모비데이즈,363260,2020/12,,
(주)모비릭스,348030,2020/12,16.31,689.41
(주)모비스,250060,2020/12,30.1,128.21
(주)모아데이타,288980,2020/12,242.4,138.03
(주)모아텍,033200,2020/03,6.76,1369.79
(주)모코엠시스,333050,2020/12,,
(주)모토닉,009680,2020/12,6.74,1560.33
(주)모헨즈,006920,2020/12,53.84,152.01
(주)무학,033920,2020/12,13.92,123.29
(주)미래생명자원,218150,2020/12,10.77,642.01
(주)미래아이앤지,007120,2020/12,3.2,3486.59
(주)미래컴퍼니,049950,2020/12,26.62,262.93
(주)미코,059090,2020/12,162.89,76.53
(주)미코바이오메드,214610,2020/12,26.02,649.75
(주)미투온,201490,2020/12,58.35,19.22
(주)바른손,018700,2020/03,12.07,364.62
(주)바른손이앤에이,035620,2020/12,22.91,308.93
(주)바른전자,064520,2020/12,24.76,226.23
(주)바이넥스,053030,2020/12,55.03,432.29
(주)바이브컴퍼니,301300,2020/12,84.03,167.03
(주)바이오니아,064550,2020/12,27.92,260.7
(주)바이오다인,314930,2020/12,260.53,119.93
(주)바이오로그디바이스,208710,2020/12,218.89,128.57
(주)바이오솔루션,086820,2020/12,6.72,2013.57
(주)바이오스마트,038460,2020/12,13.74,271.18
(주)바이오에프디엔씨,251120,2020/12,41.86,228.95
(주)바이오톡스텍,086040,2020/12,86.88,100.07
(주)바텍,043150,2020/12,37.86,278.05
(주)박셀바이오,323990,2020/12,2.39,3228.99
(주)방림,003610,2020/09,16.21,585.12
(주)배럴,267790,2020/12,22.53,744.56
(주)백금티앤에이,046310,2020/12,75.58,135.53
(주)백산,035150,2020/12,80.1,119.74
(주)밸로프,331520,2020/12,,
(주)버킷스튜디오,066410,2020/12,47.57,135.24
(주)베노홀딩스,206400,2020/12,45.64,234.62
(주)베셀,177350,2020/12,155.6,73.9
(주)베스파,299910,2020/12,46.06,206.28
(주)벽산,007210,2020/12,63.5,93.6
(주)보광산업,225530,2020/12,69.79,228.67
(주)보라티알,250000,2020/12,49.41,200.56
(주)보락,002760,2020/12,22.97,419.3
(주)보령,003850,2020/12,86.69,265.18
(주)본느,226340,2020/12,57.29,211.09
(주)부-스타,008470,2020/12,21.43,425.95
(주)부방,014470,2020/12,7.27,477.58
(주)뷰노,338220,2020/12,0,59.05
(주)뷰웍스,100120,2020/12,14,465.84
(주)브랜드엑스코퍼레이션,337930,2020/12,19.29,556.53
(주)브리지텍,064480,2020/12,26.58,281.19
(주)브이씨,365900,2020/12,88.02,235.57
(주)브이원텍,251630,2020/12,10.6,623.63
(주)브이티지엠피,018290,2020/12,81.65,118.34
(주)블루베리엔에프티,044480,2020/12,40.88,133.28
(주)블루콤,033560,2020/12,9.49,356.36
(주)블리츠웨이,369370,2020/12,,
(주)비덴트,121800,2020/12,20.81,227.74
(주)비보존헬스케어,082800,2020/12,84.04,113.07
(주)비비안,002070,2020/12,108.55,304.46
(주)비상교육,100220,2020/12,25.84,238.81
(주)비스토스,419540,2020/12,28.48,407.65
(주)비씨월드제약,200780,2020/12,71.08,115.89
(주)비아트론,141000,2020/12,26.65,323.1
(주)비에이치,090460,2020/12,62.81,195.76
(주)비엔지티,032790,2020/12,47.56,190.17
(주)비엘,142760,2020/12,56.98,103.92
(주)비엘팜텍,065170,2020/12,12.68,720.39
(주)비엠티,086670,2020/12,97.78,151.34
(주)비올,335890,2020/12,19.72,1048.32
(주)비와이씨,001460,2020/12,49.19,100.24
(주)비즈니스온커뮤니케이션,138580,2020/12,6.45,770.72
(주)비지에프,027410,2020/12,2.73,4111.19
(주)비지에프리테일,282330,2020/12,243.77,82.03
(주)비츠로셀,082920,2020/12,20.71,886.36
(주)비츠로시스,054220,2020/03,0,1.72
(주)비츠로테크,042370,2020/12,34.75,91.68
(주)비케이홀딩스,050090,2020/12,59.05,261.06
(주)비투엔,307870,2020/12,,
(주)비트나인,357880,2020/12,0,47.58
(주)비트컴퓨터,032850,2020/12,28.67,205.3
(주)비피도,238200,2020/12,14.89,584.26
(주)빅솔론,093190,2020/12,9.76,1089.8
(주)빅텍,065450,2020/12,115.73,140.06
(주)빙그레,005180,2020/12,21.02,262.83
(주)사람인에이치알,143240,2020/12,14.58,464.51
(주)사조대림,003960,2020/12,96.64,115.88
(주)사조오양,006090,2020/12,72.49,115.32
(주)산돌,419120,2020/12,,
(주)삼기,122350,2020/12,195.01,69.15
(주)삼보판지,023600,2020/12,27.47,127.77
(주)삼성출판사,068290,2020/12,20.3,600.71
(주)삼양사,145990,2020/12,82.39,222.2
(주)삼양옵틱스,225190,2020/12,26.15,615.56
(주)삼양패키징,272550,2020/12,83.43,111.88
(주)삼양홀딩스,000070,2020/12,16.9,1018.4
(주)삼에스코리아,060310,2020/03,49.01,137.61
(주)삼영에스앤씨,361670,2020/12,25.62,620.54
(주)삼원강재,023000,2020/12,21.25,330.95
(주)삼익악기,002450,2020/12,106.91,47.1
(주)삼일,032280,2020/12,85.03,60.31
(주)삼일기업공사,002290,2020/12,13.68,820.92
(주)삼일씨엔에스,004440,2020/12,17.68,322.17
(주)삼진,032750,2020/12,18.93,391.44
(주)삼진엘앤디,054090,2020/12,52.77,132.44
(주)삼천리,004690,2020/12,116.61,170.47
(주)삼표시멘트,038500,2020/12,83.24,80.03
(주)삼화네트웍스,046390,2020/12,17.5,1461.64
(주)상보,027580,2020/12,147.87,73.03
(주)상상인,038540,2020/12,10.56,162.87
(주)상상인인더스트리,101000,2020/12,58.27,332.02
(주)상상인증권,001290,2020/12,,
(주)상아프론테크,089980,2020/12,53.94,257.5
(주)상지카일룸,042940,2020/12,76.68,133.49
(주)새로닉스,042600,2020/12,71.07,71.64
(주)새빗켐,107600,2020/12,71.64,139.43
(주)샘씨엔에스,252990,2020/12,90.94,93.01
(주)샤페론,378800,2020/12,0,35.88
(주)서남,294630,2020/12,32.63,450.17
(주)서린바이오사이언스,038070,2020/12,26.38,312.53
(주)서부티엔디,006730,2020/12,180.73,46.9
(주)서산,079650,2020/12,13.73,724.12
(주)서연,007860,2020/12,1.11,1914.12
(주)서연이화,200880,2020/12,84.25,98.9
(주)서연탑메탈,019770,2020/12,82.66,146.64
(주)서울리거,043710,2020/12,57.23,176.68
(주)서울옥션,063170,2020/12,152.63,196.94
(주)서울제약,018680,2020/12,125.59,140.58
(주)서원,021050,2020/12,133,93.49
(주)서원인텍,093920,2020/12,9.7,885.75
(주)서전기전,189860,2020/12,40.24,159.07
(주)서진시스템,178320,2020/12,130.51,137.16
(주)서진오토모티브,122690,2020/12,297.39,36.36
(주)서플러스글로벌,140070,2020/12,62.38,282.77
(주)서한,011370,2020/12,70.96,358.93
(주)서흥,008490,2020/12,74.26,125.26
(주)서희건설,035890,2020/12,92.22,174.47
(주)석경에이티,357550,2020/12,30.47,357.65
(주)선광,003100,2020/12,36.59,72.35
(주)선앤엘,002820,2020/12,108.06,70.65
(주)선익시스템,171090,2020/12,17.3,402.98
(주)선진,136490,2020/12,108.01,71.63
(주)성광벤드,014620,2020/12,7.75,1467.21
(주)성도이엔지,037350,2020/12,74,112.01
(주)성안,011300,2020/12,110.02,50.12
(주)성우하이텍,015750,2020/12,85.82,124.48
(주)성창오토텍,080470,2020/12,113.01,143.58
(주)세경하이테크,148150,2020/12,42.38,283.86
(주)세동,053060,2020/12,0,48.48
(주)세림비앤지,340440,2020/12,,
(주)세보엠이씨,011560,2020/12,102.85,166.59
(주)세아메카닉스,396300,2020/12,41.52,224.92
(주)세아베스틸지주,001430,2020/12,77.02,147.57
(주)세아제강,306200,2020/12,76.74,215.79
(주)세아제강지주,003030,2020/12,8.61,25.44
(주)세아특수강,019440,2020/12,39.28,319.05
(주)세아홀딩스,058650,2020/12,13.63,4.85
(주)세우글로벌,013000,2020/12,9.57,958.95
(주)세운메디칼,100700,2020/12,9.31,679.85
(주)세원물산,024830,2020/12,53.67,84.72
(주)세원정공,021820,2020/06,13.24,1011.31
(주)세이브존아이앤씨,067830,2020/12,23.74,121.54
(주)세종메디칼,258830,2020/12,4.97,1005.74
(주)세중,039310,2020/12,11.92,483.81
(주)세진중공업,075580,2020/12,145.95,70.72
(주)세진티에스,067770,2020/12,4.45,1479.42
(주)세코닉스,053450,2020/12,332.67,71.93
(주)세토피아,222810,2020/12,17.52,406.16
(주)세화피앤씨,252500,2020/12,12.34,633.55
(주)센코,347000,2020/12,25.39,662.47
(주)센트랄모텍,308170,2020/12,148.55,70.82
(주)센트럴인사이트,012600,2020/12,126.21,67.32
