회사명,거래소코드,회계년도,부채비율,유동비율
(주)셀레믹스,331920,2020/12,4.23,2477.21
(주)셀루메드,049180,2020/12,63.71,122.42
(주)셀리드,299660,2020/12,4.45,1242.97
(주)셀리버리,268600,2020/12,57.62,4332.91
(주)셀바스에이아이,108860,2020/12,45.42,196.98
(주)셀바스헬스케어,208370,2020/12,76.41,155.71
(주)셀트리온,068270,2020/12,39.75,254.75
(주)셀트리온제약,068760,2020/12,82.35,124.87
(주)셀트리온헬스케어,091990,2020/12,79.24,214.12
(주)셀피글로벌,068940,2020/12,108.52,195.96
(주)소룩스,290690,2020/12,54.78,172.54
(주)소마젠,950200,2020/12,35.88,357.97
(주)소프트센,032680,2020/12,59.85,186.89
(주)손오공,066910,2020/12,127.27,169.2
(주)솔고바이오메디칼,043100,2020/12,55.77,135.51
(주)솔루에타,154040,2020/12,73.2,86.45
(주)솔루엠,248070,2020/12,222.62,98.33
(주)솔본,035610,2020/12,2.11,2604.06
(주)솔트룩스,304100,2020/12,9.34,804.58
(주)쇼박스,086980,2020/12,11.83,794.35
(주)수산아이앤티,050960,2020/12,5.16,886.36
(주)수산인더스트리,126720,2020/12,19.21,322.01
(주)수산중공업,017550,2020/12,61.94,64.87
(주)수젠텍,253840,2020/12,14.53,821.31
(주)슈프리마,236200,2020/12,5.18,1155.83
(주)슈프리마아이디,317770,2020/12,4.88,2243.08
(주)슈프리마에이치큐,094840,2020/12,5.13,1787.58
(주)슈피겐코리아,192440,2020/12,15.44,438.02
(주)스마트솔루션즈,136510,2020/12,72.4,119.15
(주)스맥,099440,2020/12,135.43,127.86
(주)스카이문스테크놀로지,033790,2020/12,33.71,192.5
(주)스코넥엔터테인먼트,276040,2020/12,0,39.84
(주)스킨앤스킨,159910,2020/12,47.65,253.45
(주)스타플렉스,115570,2020/12,115.06,75.71
(주)스튜디오산타클로스엔터테인먼트,204630,2020/12,87.51,90.73
(주)스페코,013810,2020/12,77.16,78.66
(주)승일,049830,2020/12,23.14,262.12
(주)시공테크,020710,2020/12,39.61,159.51
(주)시너지이노베이션,048870,2020/12,59.04,42.56
(주)시노펙스,025320,2020/12,55.9,82.74
(주)시디즈,134790,2020/12,96.31,143.78
(주)시스웍,269620,2020/12,61.77,155.39
(주)시큐브,131090,2020/12,12.14,773.86
(주)시티랩스,139050,2020/12,78.9,34.79
(주)신도기연,290520,2020/12,32.8,252.79
(주)신도리코,029530,2020/12,7.16,1296.86
(주)신성이엔지,011930,2020/12,107.91,74.65
(주)신세계,004170,2020/12,108.94,24.3
(주)신세계아이앤씨,035510,2020/12,34.23,226.03
(주)신세계인터내셔날,031430,2020/12,83.23,131.74
(주)신세계푸드,031440,2020/12,208.57,95.45
(주)신영와코루,005800,2020/12,17.47,389.72
(주)신원,009270,2020/12,124.49,176.5
(주)신진에스엠,138070,2020/12,43.78,312.44
(주)신테카바이오,226330,2020/12,7.79,4004
(주)신한금융지주회사,055550,2020/12,,
(주)신화다이나믹스,001770,2020/12,85.53,182.81
(주)신화콘텍,187270,2020/12,85.66,121.95
(주)신흥,004080,2020/12,52.81,128.6
(주)실리콘투,257720,2020/12,38.66,254.5
(주)심텍,222800,2020/12,204.59,52.6
(주)심텍홀딩스,036710,2020/12,3.2,24.53
(주)싸이맥스,160980,2020/12,40.7,212.91
(주)싸이버원,356890,2020/12,18.22,360.76
(주)싸이토젠,217330,2020/12,54.39,1914.29
(주)쌍방울,102280,2020/12,61.03,86.91
(주)썸에이지,208640,2020/12,13.82,710.73
(주)쎄노텍,222420,2020/12,189.05,109.69
(주)쎄니트,037760,2020/12,86.72,79.89
(주)쎄트렉아이,099320,2020/12,38.8,226.59
(주)쎌마테라퓨틱스,015540,2020/12,4215.44,84.44
(주)쎌바이오텍,049960,2020/12,3.3,1940.63
(주)쏘카,403550,2020/12,296.32,95.58
(주)쏠리드,050890,2020/12,122.82,78.39
(주)씨씨에스충북방송,066790,2020/12,31.11,225.42
(주)씨아이테크,004920,2020/12,77.82,37.72
(주)씨앤씨인터내셔널,352480,2020/12,171.51,86.9
(주)씨앤투스성진,352700,2020/12,72.77,148.75
(주)씨에스,065770,2020/12,27.77,392.12
(주)씨에스에이코스믹,083660,2020/12,180.85,111.36
(주)씨엔알리서치,359090,2020/12,,
(주)씨엔플러스,115530,2020/12,115.35,96.52
(주)씨유메디칼시스템,115480,2020/12,73.62,145.77
(주)씨이랩,189330,2020/12,280.37,116.75
(주)씨제이이엔엠,035760,2020/12,58.25,95.57
(주)씨젠,096530,2020/12,60.07,234.74
(주)씨티씨바이오,060590,2020/12,95.52,108.18
(주)씨티케이,260930,2020/12,12.97,420.49
(주)아가방앤컴퍼니,013990,2020/12,39.35,214.32
(주)아나패스,123860,2020/12,396.9,114.42
(주)아난티,025980,2020/12,79.54,69.07
(주)아리온테크놀로지,058220,2020/12,0,42.82
(주)아모그린텍,125210,2020/12,167.76,132.58
(주)아모레퍼시픽,090430,2020/12,10.85,404.39
(주)아모레퍼시픽그룹,002790,2020/12,2.87,1964.79
(주)아모센스,357580,2020/12,351.11,95.38
(주)아모텍,052710,2020/12,128.27,90.1
(주)아미노로직스,074430,2020/12,12.26,584.56
(주)아바코,083930,2020/12,45.74,226.32
(주)아바텍,149950,2020/12,7.69,408.93
(주)아세아텍,050860,2020/06,38,253.38
(주)아센디오,012170,2020/12,30.75,317.77
(주)아셈스,136410,2020/12,97.46,128.13
(주)아스타,246720,2020/12,28.95,613.13
(주)아스트,067390,2020/12,131.98,112.04
(주)아스플로,159010,2020/12,153.57,102.11
(주)아시아경제,127710,2020/12,35.3,190
(주)아우딘퓨쳐스,227610,2020/12,148.75,132.43
(주)아이디스,143160,2020/12,12.73,670.07
(주)아이디스홀딩스,054800,2020/12,68.05,37.91
(주)아이마켓코리아,122900,2020/12,110.68,150.58
(주)아이비김영,339950,2020/12,63.84,114.02
(주)아이센스,099190,2020/12,31.36,532.53
(주)아이스크림에듀,289010,2020/12,36.15,302.25
(주)아이씨디,040910,2020/12,27.64,331.31
(주)아이씨에이치,368600,2020/12,206.62,98.69
(주)아이앤씨테크놀로지,052860,2020/12,29.43,182.72
(주)아이에스시,095340,2020/12,27.34,177.88
(주)아이에스이커머스,069920,2020/12,131.8,92.97
(주)아이에이,038880,2020/12,27.27,95.31
(주)아이에이치큐,003560,2020/12,22.61,592.95
(주)아이엘사이언스,307180,2020/12,325.51,66.37
(주)아이엠,101390,2020/12,300.43,96.1
(주)아이엠비씨,052220,2020/12,22.4,138.32
(주)아이오케이컴퍼니,078860,2020/12,46.74,142.24
(주)아이윈,090150,2020/12,112.52,115.77
(주)아이윈플러스,123010,2020/12,65.96,141.8
(주)아이즈비전,031310,2020/12,18.59,1357.19
(주)아이컴포넌트,059100,2020/12,59.22,177.45
(주)아이퀘스트,262840,2020/12,48.48,383.04
(주)아이톡시,052770,2020/12,91.33,143.77
(주)아이티센,124500,2020/12,95.05,25.22
(주)아이티아이즈,372800,2020/12,230.85,138.15
(주)아이티엑스에이아이,099520,2020/12,104.51,163.23
(주)아이티엠반도체,084850,2020/12,43.38,239.73
(주)아이패밀리에스씨,114840,2020/12,100.37,208.02
(주)아즈텍더블유비이,032080,2020/12,27.27,235.18
(주)아진엑스텍,059120,2020/12,11.98,707.26
(주)아톤,158430,2020/12,13.24,1113.39
(주)아프리카티비,067160,2020/12,89.25,153.79
(주)안랩,053800,2020/12,28.64,344.03
(주)안트로젠,065660,2020/12,16.21,469.73
(주)알로이스,297570,2020/12,31.54,493.89
(주)알루코,001780,2020/12,97.1,142.31
(주)알비더블유,361570,2020/12,193.98,114.17
(주)알에프세미,096610,2020/12,126.35,123.25
(주)알에프텍,061040,2020/12,57.86,177.08
(주)알엔투테크놀로지,148250,2020/12,54.13,174.75
(주)알체라,347860,2020/12,9.68,1641.82
(주)알테오젠,196170,2020/12,6.37,1591.3
(주)알톤스포츠,123750,2020/12,22.14,519.73
(주)알티캐스트,085810,2020/12,35.84,244.4
(주)알파홀딩스,117670,2020/12,80.47,94.8
(주)압타머사이언스,291650,2020/12,4.97,5951.03
(주)애니플러스,310200,2020/12,40.61,197.89
(주)애드바이오텍,179530,2020/12,100.92,130.47
(주)액션스퀘어,205500,2020/12,20.96,710.01
(주)액토즈소프트,052790,2020/12,10.61,664.58
(주)액트로,290740,2020/12,10.05,1010.36
(주)앤디포스,238090,2020/12,20.95,447.7
(주)앤씨앤,092600,2020/12,76.9,327.64
(주)앱코,129890,2020/12,85.36,236.99
(주)야스,255440,2020/12,22.42,286.43
(주)양지사,030960,2020/06,26.18,105.22
(주)어스앤에어로스페이스,263540,2020/12,25729.81,66.89
(주)얼라인드제네틱스,238120,2020/12,17.77,1401.82
(주)에너토크,019990,2020/12,13.04,1117.48
(주)에넥스,011090,2020/12,150.97,117.59
(주)에스디생명공학,217480,2020/12,59.41,151.21
(주)에스디시스템,121890,2020/12,120.96,124.03
(주)에스비비테크,389500,2020/12,742.79,55.25
(주)에스비에스,034120,2020/12,106.78,236.86
(주)에스비에스콘텐츠허브,046140,2020/12,29.18,347.07
(주)에스씨디,042110,2020/12,50.91,248.32
(주)에스아이리소스,065420,2020/12,14.14,482.46
(주)에스앤더블류,103230,2020/12,33.52,265.75
(주)에스앤디,260970,2020/12,33.86,308.76
(주)에스앤에스텍,101490,2020/12,13.04,545.61
(주)에스에너지,095910,2020/12,74.64,154.82
(주)에스에스알,275630,2020/12,10.45,986.14
(주)에스에이엠티,031330,2020/12,43.7,262.8
(주)에스에이티,060540,2020/12,8.48,446.32
(주)에스에이티이엔지,351320,2020/12,,
(주)에스에프에이,056190,2020/12,26.2,288.86
(주)에스에프에이반도체,036540,2020/12,79.56,186.58
(주)에스엘바이오닉스,214310,2020/12,39.24,105.7
(주)에스엠라이프디자인그룹,063440,2020/12,11.48,833.74
(주)에스엠벡셀,010580,2020/12,568.59,28.43
(주)에스엠엔터테인먼트,041510,2020/12,43.3,134.26
(주)에스엠컬처앤콘텐츠,048550,2020/12,191.74,114.74
(주)에스엠코어,007820,2020/12,33.08,353.1
(주)에스원,012750,2020/12,35.5,194.22
(주)에스제이그룹,306040,2020/12,47.37,482.06
(주)에스제이엠,123700,2020/12,13.68,479.14
(주)에스제이엠홀딩스,025530,2020/12,9.27,108.31
(주)에스지글로벌,001380,2020/12,51.43,172.37
(주)에스지세계물산,004060,2020/12,35.01,211.18
(주)에스지엔지,040610,2020/12,46.6,31.95
(주)에스코넥,096630,2020/12,106.42,118.21
(주)에스텍파마,041910,2020/12,10.58,690.7
(주)에스티아이,039440,2020/12,36.2,207.82
(주)에스티오,098660,2020/12,116.6,165.75
(주)에스티큐브,052020,2020/12,28.51,787.45
(주)에스폴리텍,050760,2020/12,94.86,145.48
(주)에스피시스템스,317830,2020/12,70.48,164.14
(주)에스피씨삼립,005610,2020/12,217.03,51.96
(주)에스피지,058610,2020/12,114.22,113.02
(주)에쎈테크,043340,2020/12,125.56,152.48
(주)에이디칩스,054630,2020/12,65.28,373.37
(주)에이디테크놀로지,200710,2020/12,46.84,207.28
(주)에이루트,096690,2020/12,19.69,389.22
(주)에이블씨엔씨,078520,2020/12,41.46,232.68
(주)에이비프로바이오,195990,2020/12,10.65,597.02
(주)에이스침대,003800,2020/12,13.54,195.49
(주)에이스테크놀로지,088800,2020/12,218.24,141.91
(주)에이스토리,241840,2020/12,79.64,192.53
(주)에이엔피,015260,2020/12,155.39,118.21
(주)에이치비테크놀러지,078150,2020/12,33.89,208.5
(주)에이치시티,072990,2020/12,42.05,115.01
(주)에이치알에스,036640,2020/12,12.43,354.87
(주)에이치앤비디자인,227100,2020/12,511.08,107.04
(주)에이치엘사이언스,239610,2020/12,11.71,777
(주)에이치와이티씨,148930,2020/12,126.58,384.3
(주)에이치케이,044780,2020/12,63.39,157.08
(주)에이치피에스피,403870,2020/12,44.69,313.98
(주)에이치피오,357230,2020/12,20.2,255.57
(주)에이텍,045660,2020/12,16.4,304.99
(주)에이텍티앤,224110,2020/12,26.37,103.06
(주)에이트원,230980,2020/12,79.06,81.76
(주)에이티넘인베스트먼트,021080,2020/12,,
(주)에이티세미콘,089530,2020/12,320.03,16.19
(주)에이팩트,200470,2020/12,93.94,54.25
(주)에이프로,262260,2020/12,26.03,364.31
(주)에이프로젠,007460,2020/12,80.18,77
(주)에이프로젠헬스케어앤게임즈,109960,2020/12,2.18,3027.17
(주)에이프릴바이오,397030,2020/12,0,54.48
(주)에이플러스에셋어드바이저,244920,2020/12,67.24,133.51
(주)에치에프알,230240,2020/12,75.28,162.98
(주)에코마케팅,230360,2020/12,27.82,371.04
(주)에코프로,086520,2020/12,35.02,84.17
(주)에코프로비엠,247540,2020/12,73.84,145.69
(주)에프알텍,073540,2020/12,112.26,79.07
(주)에프앤가이드,064850,2020/12,25.11,316.81
(주)에프앤리퍼블릭,064090,2020/12,286.13,72.85
(주)에프앤에프홀딩스,007700,2020/12,41.39,239.33
(주)에프에스엔,214270,2020/12,75.66,56.94
(주)에프에스티,036810,2020/12,67.67,143.09
(주)에프엔씨엔터테인먼트,173940,2020/12,117.7,202.68
(주)엑사이엔씨,054940,2020/12,185.62,98.12
(주)엑서지21,043090,2020/12,6.15,1466.47
(주)엑세스바이오인코퍼레이션,950130,2020/12,51.85,208.9
(주)엑셈,205100,2020/12,9.72,661.53
(주)엑시콘,092870,2020/12,20.05,267.3
(주)엔바이오니아,317870,2020/12,45.81,364.5
(주)엔비티,236810,2020/12,57.07,153.43
(주)엔시스,333620,2020/12,87.06,172.5
(주)엔씨소프트,036570,2020/12,24.73,571.67
(주)엔아이스틸,008260,2020/12,136.64,39.38
(주)엔에스,217820,2020/12,138.07,135.48
(주)엔에스엔,031860,2020/12,16.18,278.14
(주)엔에이치엔벅스,104200,2020/12,35.6,232.76
(주)엔에프씨,265740,2020/12,52.41,204.31
(주)엔이능률,053290,2020/12,40.9,304.3
(주)엔젠바이오,354200,2020/12,19.17,628.16
(주)엔지스테크널러지,208860,2020/12,746.12,36.85
(주)엔지켐생명과학,183490,2020/12,70.4,1092.67
(주)엔케이,085310,2020/12,55.64,146.69
(주)엔케이맥스,182400,2020/12,50.88,132.53
(주)엔켐,348370,2020/12,54.06,193.82
(주)엔텔스,069410,2020/12,24.32,400.93
(주)엔투텍,227950,2020/06,132.35,46.72
(주)엔피,291230,2020/12,,
(주)엔피디,198080,2020/12,36.63,206.09
(주)엔피케이,048830,2020/12,75.97,122.16
(주)엘디티,096870,2020/12,23.86,347.93
(주)엘비루셈,376190,2020/12,44.9,205.33
(주)엘아이에스,138690,2020/12,327.77,43.86
(주)엘앤씨바이오,290650,2020/12,30.23,2062.14
(주)엘앤에프,066970,2020/12,124.37,141.96
(주)엘앤케이바이오메드,156100,2020/12,36.78,223.97
(주)엘에스,006260,2020/12,9.33,226.8
(주)엘에스네트웍스,000680,2020/12,154.96,36.7
(주)엘에프,093050,2020/12,35.85,316.3
(주)엘엑스세미콘,108320,2020/12,41.22,299.33
(주)엘엑스세미콘,108320,2020/12,41.22,299.33
(주)엘엑스인터내셔널,001120,2020/12,90.67,130.85
(주)엘엑스하우시스,108670,2020/12,149.64,120.12
(주)엘엠에스,073110,2020/12,128.59,127.32
(주)엘오티베큠,083310,2020/12,38.6,195.6
(주)엘지,003550,2020/12,2.93,1424.13
(주)엘지생활건강,051900,2020/12,20.23,133.23
(주)엘지에너지솔루션,373220,2020/12,,
(주)엘지유플러스,032640,2020/12,132.59,116.13
(주)엘지헬로비전,037560,2020/12,132,88.79
(주)엘지화학,051910,2020/12,52.39,100.53
(주)엠게임,058630,2020/12,22.64,422.88
(주)엠디에스테크,086960,2020/12,22.86,255.55
(주)엠로,058970,2020/12,163.39,115.88
(주)엠씨넥스,097520,2020/12,55.6,204.97
(주)엠아이텍,179290,2020/12,22.91,471.04
(주)엠에스씨,009780,2020/12,69.48,126.39
(주)엠에스오토텍,123040,2020/12,185.99,22.39
(주)엠투아이코퍼레이션,347890,2020/12,11.4,788.98
(주)엠투엔,033310,2020/12,81.65,32.45
(주)엠플러스,259630,2020/12,139.97,166.95
(주)엠피대산,065150,2020/12,69.29,143.69
(주)엠피씨플러스,050540,2020/12,702.81,59.24
(주)연우,115960,2020/12,27.18,260.09
(주)연이비앤티,090740,2020/12,236.16,69.4
(주)영림원소프트랩,060850,2020/12,57.38,320.06
(주)영우디에스피,143540,2020/12,111.68,140.99
(주)영원무역,111770,2020/12,42.55,136.06
(주)영원무역홀딩스,009970,2020/12,8.08,501.98
(주)영풍,000670,2020/12,26.78,314.6
(주)영흥,012160,2020/12,114.11,103.82
(주)예림당,036000,2020/12,3.68,2143.34
(주)예선테크,250930,2020/12,101.22,166.59
(주)예스코홀딩스,015360,2020/12,36.67,749.28
(주)예스티,122640,2020/12,143.63,80.5
(주)오공,045060,2020/12,33.46,146.96
(주)오디텍,080520,2020/12,6.31,901.17
(주)오뚜기,007310,2020/12,46.29,132.01
(주)오로스테크놀로지,322310,2020/12,42.51,299.26
(주)오르비텍,046120,2020/12,111.95,120.12
(주)오리엔탈정공,014940,2020/12,39.67,198.2
(주)오리엔트바이오,002630,2020/03,35.86,228.81
(주)오리엔트정공,065500,2020/12,96.27,44.97
(주)오리온,271560,2020/12,49.26,139.09
(주)오리온홀딩스,001800,2020/12,2.3,24.47
(주)오리콤,010470,2020/12,77.09,109.51
(주)오비고,352910,2020/12,3183.68,152.89
(주)오스코텍,039200,2020/12,23.65,455.08
(주)오스테오닉,226400,2020/12,160.82,207.89
(주)오스템,031510,2020/12,78.24,83.28
(주)오에스피,368970,2020/12,,
(주)오이솔루션,138080,2020/12,32.25,284.64
(주)오킨스전자,080580,2020/12,84.97,100.58
(주)오텍,067170,2020/12,51.02,98.1
(주)오파스넷,173130,2020/12,125.38,199.69
(주)오픈베이스,049480,2020/12,45.48,126.48
(주)오하임아이엔티,309930,2020/12,43.22,360.59
(주)옵투스제약,131030,2020/12,9.26,1088.67
(주)옵트론텍,082210,2020/12,119.34,95.1
(주)옵티팜,153710,2020/12,22.33,464.79
(주)와이더플래닛,321820,2020/12,0,54.78
(주)와이비엠넷,057030,2020/12,89.01,110.04
(주)와이솔,122990,2020/12,8.52,622.22
(주)와이어블,065530,2020/12,104.81,91.35
(주)와이엔텍,067900,2020/12,58.91,68.37
(주)와이엠텍,273640,2020/12,10.58,732.97
(주)와이오엠,066430,2020/12,59.4,200.15
(주)와이제이엠게임즈,193250,2020/12,23.15,156.66
(주)와이즈버즈,273060,2020/12,82.81,227.19
(주)와이지-원,019210,2020/12,161.8,95.34
(주)와이지엔터테인먼트,122870,2020/12,13.23,285.17
(주)와이지플러스,037270,2020/12,23.24,204.37
(주)와이투솔루션,011690,2020/12,254.92,97.21
(주)와이티엔,040300,2020/12,55.61,280.71
(주)와이팜,332570,2020/12,7.7,5990.71
(주)용평리조트,070960,2020/12,141.34,48.14
(주)우리금융지주,316140,2020/12,,
(주)우리기술,032820,2020/12,112.83,101.47
(주)우리넷,115440,2020/12,67,390.76
(주)우리로,046970,2020/12,198.77,67.12
(주)우성,006980,2020/12,76.27,145.64
(주)우신시스템,017370,2020/12,93.55,145.84
(주)우양,103840,2020/12,225.16,73.86
(주)우정바이오,215380,2020/12,149.06,125.1
(주)우주일렉트로닉스,065680,2020/12,31.21,233.68
(주)우진,105840,2020/12,38.46,97.57
(주)우진아이엔에스,010400,2020/12,19.32,470.4
(주)우진플라임,049800,2020/12,342.4,69.32
(주)웅진,016880,2020/12,71.64,58.27
(주)웅진씽크빅,095720,2020/12,70.67,155.74
(주)원림,005820,2020/12,30.96,158.21
(주)원바이오젠,307280,2020/12,16.43,2088019.41
(주)원방테크,053080,2020/12,19.92,317.43
(주)원익,032940,2020/12,50.46,44
(주)원익머트리얼즈,104830,2020/12,9.06,374.82
(주)원익아이피에스,240810,2020/12,66.06,152.21
(주)원익큐브,014190,2020/12,49.35,230.74
(주)원익큐엔씨,074600,2020/12,37.74,109.4
(주)원익피앤이,131390,2020/12,97.94,152
(주)원익홀딩스,030530,2020/12,38.39,64.8
(주)원일특강,012620,2020/12,89.03,179.4
(주)원준,382840,2020/12,,
(주)원티드랩,376980,2020/12,,
(주)원풍,008370,2020/12,13.3,614.89
(주)월덱스,101160,2020/12,39.33,222.57
(주)웨이버스,336060,2020/12,,
(주)웨이브일렉트로닉스,095270,2020/12,162.86,69.24
(주)웰크론,065950,2020/12,80.44,113.35
(주)웰크론한텍,076080,2020/12,118.69,130.76
(주)웹스,196700,2020/12,75.54,99.08
(주)웹젠,069080,2020/12,24.7,342.79
(주)위니아,071460,2020/12,310,86.84
(주)위니아에이드,377460,2020/12,164.33,116.15
(주)위닉스,044340,2020/12,62.15,173.48
(주)위드텍,348350,2020/12,30.92,346.55
(주)위메이드,112040,2020/12,11.12,166.22
(주)위메이드맥스,101730,2020/12,21.97,489.59
(주)위메이드플레이,123420,2020/12,12.43,928.63
(주)위세아이텍,065370,2020/12,67.83,475.8
(주)위스컴,024070,2020/12,10.4,640.47
(주)위지윅스튜디오,299900,2020/12,55.24,51.87
(주)위지트,036090,2020/12,29.97,101.92
(주)윈스,136540,2020/12,34.61,213.63
(주)윈팩,097800,2020/12,158.29,40.44
(주)윈하이텍,192390,2020/12,79.24,133.89
(주)윌링스,313760,2020/12,21.97,473.66
(주)윌비스,008600,2020/12,92.15,104.98
(주)윙스풋,335870,2020/12,,
(주)유니드,014830,2020/12,43.08,132.89
(주)유니온,000910,2020/12,63.29,82.02
(주)유니온커뮤니티,203450,2020/12,65.23,220.73
(주)유니켐,011330,2020/12,117.63,139.65
(주)유니크,011320,2020/12,113.74,85.27
(주)유니테스트,086390,2020/12,17.54,470.65
(주)유니테크노,241690,2020/12,66.33,104.79
(주)유니트론텍,142210,2020/12,119.6,152.63
(주)유라테크,048430,2020/12,21.15,349.4
(주)유바이오로직스,206650,2020/12,60.98,202.88
(주)유비케어,032620,2020/12,36.82,298.36
(주)유비쿼스,264450,2020/12,39.16,350.98
(주)유비쿼스홀딩스,078070,2020/12,1.73,1607.88
(주)유성티엔에스,024800,2020/12,94.47,57.46
(주)유수홀딩스,000700,2020/12,14.77,281.19
(주)유신,054930,2020/12,112.01,187.27
(주)유씨아이,038340,2020/12,86.01,152.13
(주)유아이디,069330,2020/12,193.89,36.64
(주)유에스티,263770,2020/12,33.76,269.25
(주)유유제약,000220,2020/12,24.65,428.61
(주)유일로보틱스,388720,2020/12,180.22,214.74
(주)유진로봇,056080,2020/12,40.35,394.86
(주)유진테크,084370,2020/12,13.45,475.3
(주)유테크,178780,2020/12,24.14,534.54
(주)유티아이,179900,2020/12,33.57,265.14
(주)유틸렉스,263050,2020/12,80.31,162.43
(주)유한양행,000100,2020/12,22.25,356.84
(주)육일씨엔에쓰,191410,2020/12,379.31,66.01
(주)율호,072770,2020/12,97.33,156.16
(주)이건홀딩스,039020,2020/12,18.95,18.48
(주)이글루코퍼레이션,067920,2020/12,21.12,551.01
(주)이글벳,044960,2020/12,28.28,359.35
(주)이노룰스,296640,2020/12,83.64,146.03
(주)이노메트리,302430,2020/12,16.06,503.25
(주)이노션,214320,2020/12,48.75,193.74
(주)이노와이어리스,073490,2020/12,15.38,327.44
(주)이노인스트루먼트,215790,2020/12,5.16,404.94
(주)이노테라피,246960,2020/12,32.64,660.5
(주)이녹스,088390,2020/12,35.43,57.03
(주)이녹스첨단소재,272290,2020/12,45.49,206.23
(주)이라이콤,041520,2020/12,15.08,563.82
(주)이랜시스,264850,2020/12,64.72,301.48
(주)이랜텍,054210,2020/12,62.15,136.16
(주)이루다,164060,2020/12,47.35,348.83
(주)이루온,065440,2020/12,45.05,232.75
(주)이마트,139480,2020/12,70.83,59.09
(주)이미지스테크놀로지,115610,2020/12,33.38,351.41
(주)이브이수성,084180,2020/12,150.21,116.83
(주)이브이첨단소재,131400,2020/12,95.33,110.28
(주)이상네트웍스,080010,2020/12,32.14,146.85
